Species	Term Accession	Term	Object	RGD ID	Symbol	Name	Type	Qualifiers	Evidence	Chr	Start	Stop	Reference(s)	Source(s)	Original Reference(s)	Notes
Human	PW:0000122	Hedgehog signaling pathway	gene	1346700	SUFU	SUFU negative regulator of hedgehog signaling	protein-coding		<a href="/rgdweb/report/annotation/main.html?term=PW:0000122&id=1346700" title="traceable author statement">TAS</a><br><a href="/rgdweb/report/annotation/main.html?term=PW:0000122&id=1346700" title="inferred from electronic annotation">IEA</a><br><a href="/rgdweb/report/annotation/main.html?term=PW:0000122&id=1346700" title="inferred from experiment">EXP</a>	10	102,502,819	102,633,535	KEGG, PID	RGD,KEGG,PID	 PMID:20716670	
Human	PW:0000122	Hedgehog signaling pathway	gene	730953	TGFB2	transforming growth factor beta 2	protein-coding		<a href="/rgdweb/report/annotation/main.html?term=PW:0000122&id=730953" title="inferred from experiment">EXP</a>	 1	218,345,336	218,444,619	PID	PID	 	
Human	PW:0000122	Hedgehog signaling pathway	gene	1344355	WNT1	Wnt family member 1	protein-coding		<a href="/rgdweb/report/annotation/main.html?term=PW:0000122&id=1344355" title="inferred from electronic annotation">IEA</a>	12	48,978,322	48,982,620	KEGG	KEGG	 	
Human	PW:0000122	Hedgehog signaling pathway	gene	1315958	WNT10A	Wnt family member 10A	protein-coding		<a href="/rgdweb/report/annotation/main.html?term=PW:0000122&id=1315958" title="inferred from electronic annotation">IEA</a>	 2	218,874,116	218,893,928	KEGG	KEGG	 	
Human	PW:0000122	Hedgehog signaling pathway	gene	1312744	WNT10B	Wnt family member 10B	protein-coding		<a href="/rgdweb/report/annotation/main.html?term=PW:0000122&id=1312744" title="inferred from electronic annotation">IEA</a>	12	48,965,340	48,971,735	KEGG	KEGG	 	
Human	PW:0000122	Hedgehog signaling pathway	gene	1344477	WNT11	Wnt family member 11	protein-coding		<a href="/rgdweb/report/annotation/main.html?term=PW:0000122&id=1344477" title="inferred from electronic annotation">IEA</a>	11	76,186,325	76,210,761	KEGG	KEGG	 	
Human	PW:0000122	Hedgehog signaling pathway	gene	1345805	WNT16	Wnt family member 16	protein-coding		<a href="/rgdweb/report/annotation/main.html?term=PW:0000122&id=1345805" title="inferred from electronic annotation">IEA</a>	 7	121,325,367	121,341,104	KEGG	KEGG	 	
Human	PW:0000122	Hedgehog signaling pathway	gene	736431	WNT2	Wnt family member 2	protein-coding		<a href="/rgdweb/report/annotation/main.html?term=PW:0000122&id=736431" title="inferred from electronic annotation">IEA</a>	 7	117,275,451	117,323,058	KEGG	KEGG	 	
Human	PW:0000122	Hedgehog signaling pathway	gene	733303	WNT2B	Wnt family member 2B	protein-coding		<a href="/rgdweb/report/annotation/main.html?term=PW:0000122&id=733303" title="inferred from electronic annotation">IEA</a>	 1	112,466,541	112,530,165	KEGG	KEGG	 	
Human	PW:0000122	Hedgehog signaling pathway	gene	1344120	WNT3	Wnt family member 3	ncrna		<a href="/rgdweb/report/annotation/main.html?term=PW:0000122&id=1344120" title="inferred from electronic annotation">IEA</a>	17	46,830,790	46,833,102	KEGG	KEGG	 	
Human	PW:0000122	Hedgehog signaling pathway	gene	1317606	WNT3A	Wnt family member 3A	protein-coding		<a href="/rgdweb/report/annotation/main.html?term=PW:0000122&id=1317606" title="inferred from electronic annotation">IEA</a>	 1	228,006,998	228,061,271	KEGG	KEGG	 	
Human	PW:0000122	Hedgehog signaling pathway	gene	733867	WNT4	Wnt family member 4	protein-coding		<a href="/rgdweb/report/annotation/main.html?term=PW:0000122&id=733867" title="inferred from electronic annotation">IEA</a>	 1	22,117,313	22,143,097	KEGG	KEGG	 	
Human	PW:0000122	Hedgehog signaling pathway	gene	1353257	WNT5A	Wnt family member 5A	protein-coding		<a href="/rgdweb/report/annotation/main.html?term=PW:0000122&id=1353257" title="inferred from electronic annotation">IEA</a>	 3	55,465,715	55,505,263	KEGG	KEGG	 	
Human	PW:0000122	Hedgehog signaling pathway	gene	1346792	WNT5B	Wnt family member 5B	protein-coding		<a href="/rgdweb/report/annotation/main.html?term=PW:0000122&id=1346792" title="inferred from electronic annotation">IEA</a>	12	1,617,056	1,647,212	KEGG	KEGG	 	
Human	PW:0000122	Hedgehog signaling pathway	gene	1312067	WNT6	Wnt family member 6	protein-coding		<a href="/rgdweb/report/annotation/main.html?term=PW:0000122&id=1312067" title="inferred from electronic annotation">IEA</a>	 2	218,859,805	218,874,233	KEGG	KEGG	 	
Human	PW:0000122	Hedgehog signaling pathway	gene	69159	WNT7A	Wnt family member 7A	protein-coding		<a href="/rgdweb/report/annotation/main.html?term=PW:0000122&id=69159" title="inferred from electronic annotation">IEA</a>	 3	13,816,258	13,880,071	KEGG	KEGG	 	
Human	PW:0000122	Hedgehog signaling pathway	gene	1322906	WNT7B	Wnt family member 7B	protein-coding		<a href="/rgdweb/report/annotation/main.html?term=PW:0000122&id=1322906" title="inferred from electronic annotation">IEA</a>	22	45,920,366	45,977,162	KEGG	KEGG	 	
Human	PW:0000122	Hedgehog signaling pathway	gene	1314861	WNT8A	Wnt family member 8A	protein-coding		<a href="/rgdweb/report/annotation/main.html?term=PW:0000122&id=1314861" title="inferred from electronic annotation">IEA</a>	 5	138,077,367	138,092,365	KEGG	KEGG	 	
Human	PW:0000122	Hedgehog signaling pathway	gene	1316953	WNT8B	Wnt family member 8B	protein-coding		<a href="/rgdweb/report/annotation/main.html?term=PW:0000122&id=1316953" title="inferred from electronic annotation">IEA</a>	10	100,463,009	100,483,744	KEGG	KEGG	 	
Human	PW:0000122	Hedgehog signaling pathway	gene	1312797	WNT9A	Wnt family member 9A	protein-coding		<a href="/rgdweb/report/annotation/main.html?term=PW:0000122&id=1312797" title="inferred from electronic annotation">IEA</a>	 1	227,918,656	227,947,932	KEGG	KEGG	 	
Human	PW:0000122	Hedgehog signaling pathway	gene	1319983	WNT9B	Wnt family member 9B	protein-coding		<a href="/rgdweb/report/annotation/main.html?term=PW:0000122&id=1319983" title="inferred from electronic annotation">IEA</a>	17	46,833,189	46,886,738	KEGG	KEGG	 	
Human	PW:0000122	Hedgehog signaling pathway	gene	735365	XPO1	exportin 1	protein-coding		<a href="/rgdweb/report/annotation/main.html?term=PW:0000122&id=735365" title="inferred from experiment">EXP</a>	 2	61,477,849	61,538,612	PID	PID	 	
Human	PW:0000122	Hedgehog signaling pathway	gene	1322491	ZIC2	Zic family member 2	protein-coding		<a href="/rgdweb/report/annotation/main.html?term=PW:0000122&id=1322491" title="inferred from electronic annotation">IEA</a>	13	99,981,784	99,986,765	KEGG	KEGG	 	
Human	PW:0000321	altered Hedgehog signaling pathway	gene	1605311	BOC	BOC cell adhesion associated, oncogene regulated	protein-coding		<a href="/rgdweb/report/annotation/main.html?term=PW:0000321&id=1605311" title="traceable author statement">TAS</a>	 3	113,210,926	113,287,459		RGD	 PMID:18772397	
Human	PW:0000321	altered Hedgehog signaling pathway	gene	1345874	DHH	desert hedgehog signaling molecule	protein-coding		<a href="/rgdweb/report/annotation/main.html?term=PW:0000321&id=1345874" title="inferred from sequence orthology">ISO</a>	12	49,086,656	49,094,801	RGD	RGD	PMID:11118005 	
Human	PW:0000321	altered Hedgehog signaling pathway	gene	1344225	GLI1	GLI family zinc finger 1	protein-coding		<a href="/rgdweb/report/annotation/main.html?term=PW:0000321&id=1344225" title="traceable author statement">TAS</a>	12	57,459,785	57,472,268		RGD	 PMID:21186299 PMID:18772397	
Human	PW:0000321	altered Hedgehog signaling pathway	gene	1314553	GLI3	GLI family zinc finger 3	protein-coding		<a href="/rgdweb/report/annotation/main.html?term=PW:0000321&id=1314553" title="traceable author statement">TAS</a>	 7	41,960,949	42,264,268		RGD	 PMID:18772397	
Human	PW:0000321	altered Hedgehog signaling pathway	gene	68599	LRP2	LDL receptor related protein 2	protein-coding		<a href="/rgdweb/report/annotation/main.html?term=PW:0000321&id=68599" title="traceable author statement">TAS</a>	 2	169,127,109	169,362,534		RGD	 PMID:18772397	
Human	PW:0000321	altered Hedgehog signaling pathway	gene	736829	SHH	sonic hedgehog signaling molecule	protein-coding		<a href="/rgdweb/report/annotation/main.html?term=PW:0000321&id=736829" title="traceable author statement">TAS</a>	 7	155,799,980	155,812,463		RGD	 PMID:19506583	
Human	PW:0000321	altered Hedgehog signaling pathway	gene	733306	SMO	smoothened, frizzled class receptor	protein-coding		<a href="/rgdweb/report/annotation/main.html?term=PW:0000321&id=733306" title="inferred from mutant phenotype">IMP</a>	 7	129,188,633	129,213,545		RGD	 PMID:9422511	
