gene1,gene2,score,SHH_cor
FBN2,COL11A1,0.481,FALSE
FBN2,ZIC2,0.404,FALSE
FBN2,COL2A1,0.435,FALSE
FBN2,BMP7,0.606,FALSE
FBN2,LTBP1,0.677,FALSE
FBXW4,FGF8,0.558,FALSE
FBXW4,SEM1,0.738,FALSE
FDFT1,PGRMC1,0.627,FALSE
FEZF1,SIX3,0.438,FALSE
FEZF1,IL17RD,0.5,FALSE
FEZF1,SPRY4,0.447,FALSE
FEZF1,LHX2,0.554,FALSE
FEZF1,ZNF385B,0.458,FALSE
FEZF1,CTNNB1,0.408,FALSE
FGF2,VCL,0.455,FALSE
FGF2,SFRP1,0.414,FALSE
FGF2,GLI1,0.458,FALSE
FGF2,BMP4,0.873,FALSE
FGF2,LGALS3,0.613,FALSE
FGF2,SERPINF1,0.625,FALSE
FGF2,JAG1,0.536,FALSE
FGF2,ETV5,0.412,FALSE
FGF2,LPAR1,0.433,FALSE
FGF2,BMPR2,0.434,FALSE
FGF2,NKX2-2,0.434,FALSE
FGF2,COL1A2,0.444,FALSE
FGF2,CDKN1A,0.446,FALSE
FGF2,PTCH1,0.455,FALSE
FGF2,COL2A1,0.477,FALSE
FGF2,FOXG1,0.477,FALSE
FGF2,WNT1,0.48,FALSE
FGF2,ITGA6,0.502,FALSE
FGF2,ANXA2,0.539,FALSE
FGF2,OTX2,0.559,FALSE
FGF2,FOXA2,0.596,FALSE
FGF2,GJA1,0.601,FALSE
FGF2,SOX1,0.604,FALSE
FGF2,DCX,0.611,FALSE
FGF2,CXCL10,0.626,FALSE
FGF2,FGF8,0.63,FALSE
FGF2,PTPRZ1,0.634,FALSE
FGF2,IGFBP3,0.659,FALSE
FGF2,SULF2,0.685,FALSE
FGF2,PAX6,0.708,FALSE
FGF2,CTNNB1,0.718,FALSE
FGF2,SHH,0.749,FALSE
FGF2,EPHA2,0.773,FALSE
FGF2,BMP7,0.786,FALSE
FGF2,NES,0.836,FALSE
FGF2,IGF1R,0.9,FALSE
FGF2,NTRK2,0.908,FALSE
FGF2,SOX2,0.933,FALSE
FGF2,FN1,0.965,FALSE
FGF2,EGF,0.969,FALSE
FGF2,FGFR2,0.999,FALSE
FGF2,FGFR3,0.999,FALSE
FGF8,GLI1,0.581,FALSE
FGF8,BMP4,0.87,FALSE
FGF8,VGF,0.456,FALSE
FGF8,JAG1,0.498,FALSE
FGF8,SIX3,0.541,FALSE
FGF8,FGF2,0.63,FALSE
FGF8,EGF,0.991,FALSE
FGF8,NTRK2,0.762,FALSE
FGF8,WNT1,0.802,FALSE
FGF8,IL17RD,0.669,FALSE
FGF8,SHH,0.954,FALSE
FGF8,IRS1,0.52,FALSE
FGF8,CXCL10,0.487,FALSE
FGF8,ETV5,0.452,FALSE
FGF8,NKX2-2,0.416,FALSE
FGF8,LHX2,0.427,FALSE
FGF8,SP8,0.446,FALSE
FGF8,PRRX2,0.468,FALSE
FGF8,NKX2-1,0.476,FALSE
FGF8,PTPRZ1,0.482,FALSE
FGF8,LRP4,0.483,FALSE
FGF8,SOX1,0.506,FALSE
FGF8,GLI2,0.541,FALSE
FGF8,PITX2,0.549,FALSE
FGF8,PTCH1,0.554,FALSE
FGF8,FBXW4,0.558,FALSE
FGF8,FOXG1,0.59,FALSE
FGF8,NES,0.621,FALSE
FGF8,BMP7,0.635,FALSE
FGF8,SOX2,0.65,FALSE
FGF8,GLI3,0.679,FALSE
FGF8,PAX6,0.68,FALSE
FGF8,FOXA2,0.699,FALSE
FGF8,SPRY1,0.7,FALSE
FGF8,SPRY4,0.713,FALSE
FGF8,EPHA2,0.719,FALSE
FGF8,SPRY2,0.721,FALSE
FGF8,CTNNB1,0.769,FALSE
FGF8,FN1,0.799,FALSE
FGF8,OTX2,0.808,FALSE
FGF8,IGF1R,0.848,FALSE
FGF8,FGFR3,0.999,FALSE
FGF8,FGFR2,0.999,FALSE
FGFR2,EFNB1,0.406,TRUE
FGFR2,GLI1,0.488,TRUE
FGFR2,BMP4,0.693,TRUE
FGFR2,LGALS3,0.476,TRUE
FGFR2,JAG1,0.596,TRUE
FGFR2,FGF2,0.999,TRUE
FGFR2,EGF,0.936,TRUE
FGFR2,EPHA4,0.419,TRUE
FGFR2,IL17RD,0.653,TRUE
FGFR2,SHH,0.717,TRUE
FGFR2,IRS1,0.817,TRUE
FGFR2,CXCL10,0.431,TRUE
FGFR2,ETV5,0.44,TRUE
FGFR2,FGF8,0.999,TRUE
FGFR2,SOX2,0.512,TRUE
FGFR2,PTCH1,0.448,TRUE
FGFR2,FGFR3,0.987,TRUE
FGFR2,SPRY4,0.588,TRUE
FGFR2,FN1,0.581,TRUE
FGFR2,TPM1,0.48,TRUE
FGFR2,EPHA2,0.559,TRUE
FGFR2,SPRY2,0.49,TRUE
FGFR2,PLCB4,0.681,TRUE
FGFR2,PDGFD,0.719,TRUE
FGFR2,BMP7,0.658,TRUE
FGFR2,GLI3,0.407,TRUE
FGFR2,SPRY1,0.402,TRUE
FGFR2,OTX2,0.471,TRUE
FGFR2,ADAMTS9,0.512,TRUE
FGFR2,IGF1R,0.532,TRUE
FGFR2,CTNNB1,0.636,TRUE
FGFR3,EFNB1,0.403,TRUE
FGFR3,BMP4,0.449,TRUE
FGFR3,FOXA1,0.408,TRUE
FGFR3,FGF2,0.999,TRUE
FGFR3,EGF,0.902,TRUE
FGFR3,NTRK2,0.479,TRUE
FGFR3,EPHA4,0.624,TRUE
FGFR3,SHH,0.633,TRUE
FGFR3,COL1A2,0.508,TRUE
FGFR3,IRS1,0.703,TRUE
FGFR3,FGF8,0.999,TRUE
FGFR3,SOX2,0.442,TRUE
FGFR3,CRTAP,0.412,TRUE
FGFR3,OPCML,0.473,TRUE
FGFR3,PTCH1,0.423,TRUE
FGFR3,NES,0.545,TRUE
FGFR3,CTNNB1,0.6,TRUE
FGFR3,PLCB4,0.65,TRUE
FGFR3,COL2A1,0.775,TRUE
FGFR3,PDGFD,0.788,TRUE
FGFR3,FGFR2,0.987,TRUE
FJX1,PRICKLE1,0.406,FALSE
FN1,NTN1,0.562,NA
FN1,VCL,0.992,NA
FN1,LGALS1,0.878,NA
FN1,ITGB8,0.93,NA
FN1,GLI1,0.418,NA
FN1,BMP4,0.715,NA
FN1,VGF,0.438,NA
FN1,LGALS3,0.985,NA
FN1,SERPINF1,0.846,NA
FN1,JAG1,0.5,NA
FN1,LAMC1,0.7,NA
FN1,FGF2,0.965,NA
FN1,ITGA9,0.945,NA
FN1,TNC,0.814,NA
FN1,EGF,0.96,NA
FN1,SLIT1,0.532,NA
FN1,CDH11,0.664,NA
FN1,GJA1,0.739,NA
FN1,KPNB1,0.407,NA
FN1,WNT1,0.413,NA
FN1,ITGB5,0.995,NA
FN1,IL17RD,0.611,NA
FN1,FABP5,0.532,NA
FN1,SHH,0.716,NA
FN1,COL1A2,0.982,NA
FN1,IRS1,0.777,NA
FN1,CXCL10,0.686,NA
FN1,CLU,0.802,NA
FN1,FGF8,0.799,NA
FN1,SOX2,0.622,NA
FN1,PTCH1,0.559,NA
FN1,IGDCC3,0.442,NA
FN1,FOXO3,0.58,NA
FN1,DLK1,0.57,NA
FN1,ADGRL1,0.503,NA
FN1,ANXA2,0.723,NA
FN1,PODXL,0.404,NA
FN1,PAX6,0.404,NA
FN1,PTPRZ1,0.404,NA
FN1,DMD,0.407,NA
FN1,COL2A1,0.456,NA
FN1,CDKN1A,0.462,NA
FN1,RHOU,0.478,NA
FN1,EPHA2,0.481,NA
FN1,COL11A1,0.511,NA
FN1,DSP,0.544,NA
FN1,CDON,0.551,NA
FN1,FGFR2,0.581,NA
FN1,NES,0.63,NA
FN1,BMPR2,0.706,NA
FN1,BMP7,0.728,NA
FN1,SERPINH1,0.74,NA
FN1,COL4A2,0.75,NA
FN1,CTNNB1,0.85,NA
FN1,IGF1R,0.875,NA
FN1,FBN2,0.876,NA
FN1,ITGA6,0.928,NA
FN1,LTBP1,0.949,NA
FN1,IGFBP3,0.967,NA
FOXA1,XBP1,0.499,TRUE
FOXA1,SFRP1,0.524,TRUE
FOXA1,BMP4,0.425,TRUE
FOXA1,IGF1R,0.406,TRUE
FOXA1,FGFR3,0.408,TRUE
FOXA1,EGF,0.408,TRUE
FOXA1,NKX2-8,0.461,TRUE
FOXA1,NKX2-2,0.478,TRUE
FOXA1,OTX2,0.48,TRUE
FOXA1,PAX6,0.496,TRUE
FOXA1,ETV5,0.578,TRUE
FOXA1,TCF7L2,0.609,TRUE
FOXA1,CTNNB1,0.676,TRUE
FOXA1,FOXA2,0.71,TRUE
FOXA1,SOX2,0.74,TRUE
FOXA1,SHH,0.867,TRUE
FOXA1,PBX1,0.876,TRUE
FOXA1,NKX2-1,0.916,TRUE
FOXA2,SFRP1,0.5,TRUE
FOXA2,GLI1,0.511,TRUE
FOXA2,BMP4,0.668,TRUE
FOXA2,FOXA1,0.71,TRUE
FOXA2,SIX3,0.783,TRUE
FOXA2,FGF2,0.596,TRUE
FOXA2,EGF,0.448,TRUE
FOXA2,WNT1,0.484,TRUE
FOXA2,SHH,0.956,TRUE
FOXA2,FGF8,0.699,TRUE
FOXA2,SOX2,0.841,TRUE
FOXA2,SOX1,0.701,TRUE
FOXA2,PTCH1,0.443,TRUE
FOXA2,DLK1,0.611,TRUE
FOXA2,NKX2-1,0.778,TRUE
FOXA2,NES,0.637,TRUE
FOXA2,ZIC2,0.753,TRUE
FOXA2,NKX2-2,0.855,TRUE
FOXA2,GLI3,0.439,TRUE
FOXA2,GLI2,0.479,TRUE
FOXA2,PITX2,0.406,TRUE
FOXA2,DDC,0.519,TRUE
FOXA2,CTNNB1,0.558,TRUE
FOXA2,TCF7L2,0.703,TRUE
FOXA2,PAX6,0.814,TRUE
FOXA2,OTX2,0.918,TRUE
FOXG1,BMP4,0.494,FALSE
FOXG1,TLE6,0.556,FALSE
FOXG1,SIX3,0.644,FALSE
FOXG1,FGF2,0.477,FALSE
FOXG1,PRDM16,0.715,FALSE
FOXG1,SHH,0.757,FALSE
FOXG1,FGF8,0.59,FALSE
FOXG1,SOX2,0.749,FALSE
FOXG1,SOX1,0.681,FALSE
FOXG1,VAX1,0.402,FALSE
FOXG1,DCX,0.411,FALSE
FOXG1,GLI3,0.423,FALSE
FOXG1,TCF7L2,0.521,FALSE
FOXG1,NKX2-2,0.545,FALSE
FOXG1,NKX2-1,0.697,FALSE
FOXG1,NES,0.73,FALSE
FOXG1,LHX2,0.731,FALSE
FOXG1,CTNNB1,0.74,FALSE
FOXG1,FOXO3,0.748,FALSE
FOXG1,OTX2,0.781,FALSE
FOXG1,PAX6,0.865,FALSE
FOXO3,XBP1,0.423,FALSE
FOXO3,SFRP1,0.476,FALSE
FOXO3,RORA,0.57,FALSE
FOXO3,EGF,0.451,FALSE
FOXO3,CDK6,0.802,FALSE
FOXO3,WNT1,0.533,FALSE
FOXO3,IRS1,0.629,FALSE
FOXO3,SOX2,0.64,FALSE
FOXO3,FOXG1,0.748,FALSE
FOXO3,CTNNBIP1,0.435,FALSE
FOXO3,TCF12,0.452,FALSE
FOXO3,SPRY2,0.455,FALSE
FOXO3,PAX6,0.502,FALSE
FOXO3,AGO1,0.503,FALSE
FOXO3,FN1,0.58,FALSE
FOXO3,IGF1R,0.674,FALSE
FOXO3,IRS2,0.681,FALSE
FOXO3,PBX1,0.697,FALSE
FOXO3,GADD45A,0.752,FALSE
FOXO3,BCL2L11,0.984,FALSE
FOXO3,CDKN1A,0.995,FALSE
FOXO3,CTNNB1,0.998,FALSE
FRZB,SFRP1,0.466,TRUE
FRZB,BMP4,0.443,TRUE
FRZB,EGF,0.612,TRUE
FRZB,WNT1,0.785,TRUE
FRZB,SHH,0.438,TRUE
FRZB,COL2A1,0.444,TRUE
FRZB,LPAR1,0.448,TRUE
FRZB,CALM1,0.495,TRUE
FRZB,ITGA6,0.564,TRUE
FRZB,FZD8,0.567,TRUE
FRZB,WNT5B,0.595,TRUE
FRZB,CTNNB1,0.811,TRUE
FTL,TMSB10,0.433,FALSE
FTL,PRDX6,0.502,FALSE
FTL,SLC3A2,0.429,FALSE
FTL,CTNNB1,0.473,FALSE
FTL,IFITM3,0.474,FALSE
FTL,AP1S2,0.536,FALSE
FTL,SAT1,0.547,FALSE
FZD5,SFRP1,0.728,FALSE
FZD5,GNG11,0.499,FALSE
FZD5,SIX3,0.426,FALSE
FZD5,RORA,0.796,FALSE
FZD5,WNT1,0.976,FALSE
FZD5,FZD8,0.69,FALSE
FZD5,CTNNB1,0.797,FALSE
FZD5,WNT5B,0.941,FALSE
FZD8,SFRP1,0.768,FALSE
FZD8,WNT1,0.995,FALSE
FZD8,FRZB,0.567,FALSE
FZD8,PRICKLE1,0.405,FALSE
FZD8,FZD5,0.69,FALSE
FZD8,DAAM1,0.404,FALSE
FZD8,TCF7L2,0.407,FALSE
FZD8,CTNNB1,0.798,FALSE
FZD8,WNT5B,0.961,FALSE
GADD45A,GADD45G,0.959,FALSE
GADD45A,DDB2,0.621,FALSE
GADD45A,CDK6,0.612,FALSE
GADD45A,PLK2,0.42,FALSE
GADD45A,ZMAT3,0.432,FALSE
GADD45A,FOXO3,0.752,FALSE
GADD45A,CCNG1,0.597,FALSE
GADD45A,IGFBP3,0.431,FALSE
GADD45A,BCL2L11,0.58,FALSE
GADD45A,CDKN1A,0.974,FALSE
GADD45G,AUTS2,0.401,TRUE
GADD45G,CDKN1A,0.729,TRUE
GADD45G,GADD45A,0.959,TRUE
GAS1,GLI1,0.586,FALSE
GAS1,SIX3,0.621,FALSE
GAS1,HHIP,0.736,FALSE
GAS1,SHH,0.999,FALSE
GAS1,TNNT1,0.442,FALSE
GAS1,GLI2,0.607,FALSE
GAS1,GLI3,0.633,FALSE
GAS1,ZIC2,0.727,FALSE
GAS1,CDON,0.995,FALSE
GAS1,PTCH1,0.998,FALSE
GFPT1,XBP1,0.862,FALSE
GFPT1,ASS1,0.4,FALSE
GFPT1,SAT1,0.487,FALSE
GJA1,VCL,0.795,FALSE
GJA1,BMP4,0.505,FALSE
GJA1,FGF2,0.601,FALSE
GJA1,EGF,0.644,FALSE
GJA1,CDH11,0.507,FALSE
GJA1,CDKN1A,0.43,FALSE
GJA1,COL1A2,0.476,FALSE
GJA1,NES,0.508,FALSE
GJA1,PITX2,0.548,FALSE
GJA1,SOX2,0.612,FALSE
GJA1,FN1,0.739,FALSE
GJA1,DSP,0.84,FALSE
GJA1,CTNNB1,0.87,FALSE
GLI1,SFRP1,0.691,TRUE
GLI1,SEM1,0.4,TRUE
GLI1,IGF1R,0.407,TRUE
GLI1,PSMB7,0.41,TRUE
GLI1,FN1,0.418,TRUE
GLI1,NKX2-1,0.451,TRUE
GLI1,FGF2,0.458,TRUE
GLI1,LRIG1,0.465,TRUE
GLI1,IQCE,0.467,TRUE
GLI1,OTX2,0.468,TRUE
GLI1,BMP7,0.487,TRUE
GLI1,FGFR2,0.488,TRUE
GLI1,WNT1,0.503,TRUE
GLI1,FOXA2,0.511,TRUE
GLI1,JAG1,0.524,TRUE
GLI1,CDON,0.552,TRUE
GLI1,ZNF521,0.577,TRUE
GLI1,FGF8,0.581,TRUE
GLI1,GAS1,0.586,TRUE
GLI1,NES,0.587,TRUE
GLI1,PAX6,0.59,TRUE
GLI1,NKX2-2,0.591,TRUE
GLI1,EGF,0.614,TRUE
GLI1,BMP4,0.644,TRUE
GLI1,SOX2,0.772,TRUE
GLI1,CTNNB1,0.829,TRUE
GLI1,HHIP,0.898,TRUE
GLI1,GLI3,0.923,TRUE
GLI1,GLI2,0.958,TRUE
GLI1,PTCH1,0.978,TRUE
GLI1,SHH,0.979,TRUE
GLI2,SFRP1,0.468,FALSE
GLI2,GLI1,0.958,FALSE
GLI2,BMP4,0.548,FALSE
GLI2,JAG1,0.48,FALSE
GLI2,PSMB7,0.41,FALSE
GLI2,SIX3,0.774,FALSE
GLI2,WNT1,0.416,FALSE
GLI2,HHIP,0.821,FALSE
GLI2,SHH,0.975,FALSE
GLI2,GAS1,0.607,FALSE
GLI2,FGF8,0.541,FALSE
GLI2,SOX2,0.694,FALSE
GLI2,PTCH1,0.972,FALSE
GLI2,NKX2-1,0.411,FALSE
GLI2,ZNF521,0.603,FALSE
GLI2,NES,0.47,FALSE
GLI2,ZIC2,0.495,FALSE
GLI2,NKX2-2,0.528,FALSE
GLI2,CDON,0.623,FALSE
GLI2,BMP7,0.441,FALSE
GLI2,GLI3,0.941,FALSE
GLI2,SEM1,0.46,FALSE
GLI2,SLIT2,0.477,FALSE
GLI2,FOXA2,0.479,FALSE
GLI2,ROBO1,0.503,FALSE
GLI2,PAX6,0.535,FALSE
GLI2,OTX2,0.555,FALSE
GLI2,CTNNB1,0.634,FALSE
GLI3,SFRP1,0.433,FALSE
GLI3,GLI1,0.923,FALSE
GLI3,BMP4,0.55,FALSE
GLI3,JAG1,0.423,FALSE
GLI3,PSMB7,0.426,FALSE
GLI3,WNT1,0.403,FALSE
GLI3,HHIP,0.789,FALSE
GLI3,SHH,0.966,FALSE
GLI3,GAS1,0.633,FALSE
GLI3,FGF8,0.679,FALSE
GLI3,SOX2,0.747,FALSE
GLI3,PTCH1,0.989,FALSE
GLI3,FOXG1,0.423,FALSE
GLI3,NKX2-1,0.412,FALSE
GLI3,COL4A2,0.404,FALSE
GLI3,SMOC1,0.415,FALSE
GLI3,NES,0.448,FALSE
GLI3,ZIC2,0.625,FALSE
GLI3,NKX2-2,0.472,FALSE
GLI3,CDON,0.526,FALSE
GLI3,BMP7,0.416,FALSE
GLI3,SEM1,0.4,FALSE
GLI3,FGFR2,0.407,FALSE
GLI3,IQCE,0.437,FALSE
GLI3,FOXA2,0.439,FALSE
GLI3,OTX2,0.444,FALSE
GLI3,PAX6,0.6,FALSE
GLI3,CTNNB1,0.686,FALSE
GLI3,GLI2,0.941,FALSE
GNG11,ADGRL1,0.469,FALSE
GNG11,FZD5,0.499,FALSE
GNG11,RGS16,0.518,FALSE
GNG11,GRIK3,0.534,FALSE
GNG11,LPAR1,0.611,FALSE
GNG11,RASGRF2,0.653,FALSE
GNG11,HTR1D,0.681,FALSE
GNG11,PLCB4,0.703,FALSE
GNG11,NMU,0.711,FALSE
GRIA1,LMAN1,0.511,FALSE
GRIA1,NTRK2,0.667,FALSE
GRIA1,SEC24D,0.526,FALSE
GRIA1,EPB41L2,0.752,FALSE
GRIA1,GRIK3,0.822,FALSE
GRIA1,NLGN1,0.633,FALSE
GRIA1,CALM1,0.542,FALSE
GRIK3,GNG11,0.534,TRUE
GRIK3,CALM1,0.566,TRUE
GRIK3,GRIA1,0.822,TRUE
HHIP,SFRP1,0.439,TRUE
HHIP,GLI1,0.898,TRUE
HHIP,HNRNPU,0.41,TRUE
HHIP,OTX2,0.44,TRUE
HHIP,COL11A1,0.459,TRUE
HHIP,CDON,0.592,TRUE
HHIP,GAS1,0.736,TRUE
HHIP,GLI3,0.789,TRUE
HHIP,GLI2,0.821,TRUE
HHIP,PTCH1,0.969,TRUE
HHIP,SHH,0.999,TRUE
HIPK2,CTNNB1,0.41,TRUE
HNRNPU,SRSF6,0.778,TRUE
HNRNPU,KPNB1,0.45,TRUE
HNRNPU,HHIP,0.41,TRUE
HNRNPU,SOX2,0.419,TRUE
HNRNPU,TPM1,0.42,TRUE
HNRNPU,AGO1,0.577,TRUE
HS3ST3B1,SULF2,0.418,FALSE
HS3ST3B1,HS6ST2,0.509,FALSE
HS6ST2,SULF2,0.593,FALSE
HS6ST2,HS3ST3B1,0.509,FALSE
HTR1D,GNG11,0.681,TRUE
HTR1D,HTR2C,0.558,TRUE
HTR2C,HTR1D,0.558,FALSE
ID2,SOX2,0.418,FALSE
ID2,CTNNB1,0.422,FALSE
ID2,RORA,0.43,FALSE
ID2,BMP7,0.466,FALSE
ID2,TCF7L2,0.525,FALSE
ID2,BMP4,0.536,FALSE
ID2,CDKN1A,0.541,FALSE
ID2,TCF12,0.924,FALSE
IFITM3,CXCL10,0.508,FALSE
IFITM3,FTL,0.474,FALSE
IGDCC3,FN1,0.442,TRUE
IGDCC3,CADPS,0.57,TRUE
IGF1R,GLI1,0.407,TRUE
IGF1R,BMP4,0.469,TRUE
IGF1R,FOXA1,0.406,TRUE
IGF1R,JAG1,0.6,TRUE
IGF1R,FGF2,0.9,TRUE
IGF1R,EGF,0.997,TRUE
IGF1R,SHH,0.431,TRUE
IGF1R,IRS1,0.999,TRUE
IGF1R,FGF8,0.848,TRUE
IGF1R,SOX2,0.637,TRUE
IGF1R,FOXO3,0.674,TRUE
IGF1R,CCNG1,0.445,TRUE
IGF1R,FN1,0.875,TRUE
IGF1R,EPHA2,0.543,TRUE
IGF1R,IRS4,0.968,TRUE
IGF1R,IRS2,0.998,TRUE
IGF1R,PLCB4,0.683,TRUE
IGF1R,IGFBP3,0.96,TRUE
IGF1R,PDGFD,0.725,TRUE
IGF1R,BCL2L11,0.447,TRUE
IGF1R,CDKN1A,0.51,TRUE
IGF1R,FGFR2,0.532,TRUE
IGF1R,CTNNB1,0.985,TRUE
IGFBP3,SFRP1,0.403,FALSE
IGFBP3,LGALS3,0.449,FALSE
IGFBP3,FGF2,0.659,FALSE
IGFBP3,EGF,0.657,FALSE
IGFBP3,COL1A2,0.468,FALSE
IGFBP3,IRS1,0.531,FALSE
IGFBP3,CXCL10,0.521,FALSE
IGFBP3,CLU,0.598,FALSE
IGFBP3,FN1,0.967,FALSE
IGFBP3,GADD45A,0.431,FALSE
IGFBP3,IRS2,0.43,FALSE
IGFBP3,PODXL,0.47,FALSE
IGFBP3,CTNNB1,0.431,FALSE
IGFBP3,CDKN1A,0.489,FALSE
IGFBP3,LTBP1,0.508,FALSE
IGFBP3,IGF1R,0.96,FALSE
IL17RD,VCL,0.627,FALSE
IL17RD,SPRY1,0.453,FALSE
IL17RD,FEZF1,0.5,FALSE
IL17RD,FN1,0.611,FALSE
IL17RD,SPRY2,0.639,FALSE
IL17RD,FGFR2,0.653,FALSE
IL17RD,FGF8,0.669,FALSE
IL17RD,SPRY4,0.871,FALSE
INPP5F,PLCB4,0.905,FALSE
IQCE,GLI1,0.467,TRUE
IQCE,NAV1,0.45,TRUE
IQCE,GLI3,0.437,TRUE
IRS1,VCL,0.603,TRUE
IRS1,XBP1,0.443,TRUE
IRS1,LGALS3,0.48,TRUE
IRS1,EGF,0.486,TRUE
IRS1,NTRK2,0.974,TRUE
IRS1,FGF8,0.52,TRUE
IRS1,IGFBP3,0.531,TRUE
IRS1,TCF7L2,0.585,TRUE
IRS1,FOXO3,0.629,TRUE
IRS1,CTNNB1,0.686,TRUE
IRS1,FGFR3,0.703,TRUE
IRS1,EPHA2,0.726,TRUE
IRS1,FN1,0.777,TRUE
IRS1,FGFR2,0.817,TRUE
IRS1,IRS4,0.973,TRUE
IRS1,IRS2,0.997,TRUE
IRS1,IGF1R,0.999,TRUE
IRS2,NTRK2,0.522,FALSE
IRS2,IRS1,0.997,FALSE
IRS2,FOXO3,0.681,FALSE
IRS2,IRS4,0.983,FALSE
IRS2,IGFBP3,0.43,FALSE
IRS2,IGF1R,0.998,FALSE
IRS4,IRS1,0.973,FALSE
IRS4,IGF1R,0.968,FALSE
IRS4,IRS2,0.983,FALSE
ITGA6,VCL,0.42,TRUE
ITGA6,ITGB8,0.765,TRUE
ITGA6,JAG1,0.415,TRUE
ITGA6,LAMC1,0.979,TRUE
ITGA6,FGF2,0.502,TRUE
ITGA6,ITGA9,0.605,TRUE
ITGA6,TNC,0.686,TRUE
ITGA6,EGF,0.57,TRUE
ITGA6,FRZB,0.564,TRUE
ITGA6,ITGB5,0.907,TRUE
ITGA6,COL1A2,0.751,TRUE
ITGA6,SOX2,0.607,TRUE
ITGA6,FN1,0.928,TRUE
ITGA6,COL4A2,0.769,TRUE
ITGA6,NES,0.7,TRUE
ITGA6,LPAR1,0.44,TRUE
ITGA6,PODXL,0.523,TRUE
ITGA6,COL2A1,0.713,TRUE
ITGA6,KRT4,0.471,TRUE
ITGA6,CTNNB1,0.542,TRUE
ITGA6,CALM1,0.585,TRUE
ITGA9,ITGB8,0.783,TRUE
ITGA9,LAMC1,0.742,TRUE
ITGA9,ITGA6,0.605,TRUE
ITGA9,COL2A1,0.702,TRUE
ITGA9,COL1A2,0.705,TRUE
ITGA9,SAT1,0.737,TRUE
ITGA9,COL4A2,0.74,TRUE
ITGA9,ITGB5,0.806,TRUE
ITGA9,FN1,0.945,TRUE
ITGA9,TNC,0.952,TRUE
ITGB5,VCL,0.907,FALSE
ITGB5,ITGB8,0.945,FALSE
ITGB5,LAMC1,0.814,FALSE
ITGB5,ITGA9,0.806,FALSE
ITGB5,TNC,0.701,FALSE
ITGB5,PCSK5,0.477,FALSE
ITGB5,CALM1,0.508,FALSE
ITGB5,TPM1,0.647,FALSE
ITGB5,EPHA2,0.672,FALSE
ITGB5,COL2A1,0.696,FALSE
ITGB5,LTBP1,0.716,FALSE
ITGB5,MYLK,0.76,FALSE
ITGB5,COL1A2,0.791,FALSE
ITGB5,COL4A2,0.857,FALSE
ITGB5,ITGA6,0.907,FALSE
ITGB5,FN1,0.995,FALSE
ITGB8,VCL,0.437,TRUE
ITGB8,LTBP1,0.643,TRUE
ITGB8,TNC,0.688,TRUE
ITGB8,COL2A1,0.699,TRUE
ITGB8,LAMC1,0.708,TRUE
ITGB8,COL1A2,0.723,TRUE
ITGB8,ITGA6,0.765,TRUE
ITGB8,ITGA9,0.783,TRUE
ITGB8,COL4A2,0.798,TRUE
ITGB8,FN1,0.93,TRUE
ITGB8,ITGB5,0.945,TRUE
JAG1,GLI1,0.524,FALSE
JAG1,BMP4,0.571,FALSE
JAG1,CDK6,0.4,FALSE
JAG1,ITGA6,0.415,FALSE
JAG1,BMP7,0.42,FALSE
JAG1,GLI3,0.423,FALSE
JAG1,PTCH1,0.444,FALSE
JAG1,CDKN1A,0.454,FALSE
JAG1,SPRY2,0.474,FALSE
JAG1,NKD1,0.476,FALSE
JAG1,GLI2,0.48,FALSE
JAG1,FGF8,0.498,FALSE
JAG1,FN1,0.5,FALSE
JAG1,NTRK2,0.502,FALSE
JAG1,NES,0.524,FALSE
JAG1,FGF2,0.536,FALSE
JAG1,FGFR2,0.596,FALSE
JAG1,IGF1R,0.6,FALSE
JAG1,SHH,0.616,FALSE
JAG1,WNT1,0.694,FALSE
JAG1,SOX2,0.701,FALSE
JAG1,CTNNB1,0.796,FALSE
JAG1,EGF,0.869,FALSE
JAM2,CLDN3,0.445,TRUE
KDELR2,SEC24D,0.496,FALSE
KDELR2,RAB1A,0.599,FALSE
KDELR2,ARF1,0.611,FALSE
KDELR2,SURF4,0.691,FALSE
KDELR2,ARCN1,0.711,FALSE
KDELR2,COPB2,0.717,FALSE
KDELR2,ARF4,0.778,FALSE
KIF21A,ARF4,0.514,TRUE
KIF21A,ARF1,0.545,TRUE
KIF21A,PHLDB2,0.668,TRUE
KPNB1,FN1,0.407,TRUE
KPNB1,CUL4B,0.416,TRUE
KPNB1,HNRNPU,0.45,TRUE
KPNB1,CTNNB1,0.475,TRUE
KPNB1,NCOA5,0.542,TRUE
KRT4,ITGA6,0.471,TRUE
L1TD1,SOX2,0.541,FALSE
LAMC1,LGALS1,0.631,FALSE
LAMC1,ITGB8,0.708,FALSE
LAMC1,LGALS3,0.439,FALSE
LAMC1,COL11A1,0.432,FALSE
LAMC1,TNC,0.447,FALSE
LAMC1,EGF,0.561,FALSE
LAMC1,LTBP1,0.579,FALSE
LAMC1,DMD,0.687,FALSE
LAMC1,FN1,0.7,FALSE
LAMC1,COL1A2,0.701,FALSE
LAMC1,ITGA9,0.742,FALSE
LAMC1,ITGB5,0.814,FALSE
LAMC1,COL4A2,0.814,FALSE
LAMC1,ITGA6,0.979,FALSE
LDB2,NKX2-2,0.48,TRUE
LDB2,TCF12,0.662,TRUE
