#node1	node2	combined_score
FOXA1	FOXA2	0.710
FOXA1	SOX2	0.740
FOXA1	SHH	0.867
FOXA1	PBX1	0.876
FOXA1	NKX2-1	0.916
FOXA2	SFRP1	0.500
FOXA2	GLI1	0.511
FOXA2	BMP4	0.668
FOXA2	FOXA1	0.710
FOXA2	SIX3	0.783
FOXA2	FGF2	0.596
FOXA2	EGF	0.448
FOXA2	WNT1	0.484
FOXA2	SHH	0.956
FOXA2	FGF8	0.699
FOXA2	SOX2	0.841
FOXA2	SOX1	0.701
FOXA2	PTCH1	0.443
FOXA2	DLK1	0.611
FOXA2	NKX2-1	0.778
FOXA2	NES	0.637
FOXA2	ZIC2	0.753
FOXA2	NKX2-2	0.855
FOXA2	GLI3	0.439
FOXA2	GLI2	0.479
FOXA2	PITX2	0.406
FOXA2	DDC	0.519
FOXA2	CTNNB1	0.558
FOXA2	TCF7L2	0.703
FOXA2	PAX6	0.814
FOXA2	OTX2	0.918
FOXG1	BMP4	0.494
FOXG1	TLE6	0.556
FOXG1	SIX3	0.644
FOXG1	FGF2	0.477
FOXG1	PRDM16	0.715
FOXG1	SHH	0.757
FOXG1	FGF8	0.590
FOXG1	SOX2	0.749
FOXG1	SOX1	0.681
FOXG1	VAX1	0.402
FOXG1	DCX	0.411
FOXG1	GLI3	0.423
FOXG1	TCF7L2	0.521
FOXG1	NKX2-2	0.545
FOXG1	NKX2-1	0.697
FOXG1	NES	0.730
FOXG1	LHX2	0.731
FOXG1	CTNNB1	0.740
FOXG1	FOXO3	0.748
FOXG1	OTX2	0.781
FOXG1	PAX6	0.865
FOXO3	XBP1	0.423
FOXO3	SFRP1	0.476
FOXO3	RORA	0.570
FOXO3	EGF	0.451
FOXO3	CDK6	0.802
FOXO3	WNT1	0.533
FOXO3	IRS1	0.629
FOXO3	SOX2	0.640
FOXO3	FOXG1	0.748
FOXO3	CTNNBIP1	0.435
FOXO3	TCF12	0.452
FOXO3	SPRY2	0.455
FOXO3	PAX6	0.502
FOXO3	AGO1	0.503
FOXO3	FN1	0.580
FOXO3	IGF1R	0.674
FOXO3	IRS2	0.681
FOXO3	PBX1	0.697
FOXO3	GADD45A	0.752
FOXO3	BCL2L11	0.984
FOXO3	CDKN1A	0.995
FOXO3	CTNNB1	0.998
FRZB	SFRP1	0.466
FRZB	BMP4	0.443
FRZB	EGF	0.612
FRZB	WNT1	0.785
FRZB	SHH	0.438
FRZB	COL2A1	0.444
FRZB	LPAR1	0.448
FRZB	CALM1	0.495
FRZB	ITGA6	0.564
FRZB	FZD8	0.567
FRZB	WNT5B	0.595
FRZB	CTNNB1	0.811
FTL	TMSB10	0.433
FTL	PRDX6	0.502
FTL	SLC3A2	0.429
FTL	CTNNB1	0.473
FTL	IFITM3	0.474
FTL	AP1S2	0.536
FTL	SAT1	0.547
FZD5	SFRP1	0.728
FZD5	GNG11	0.499
FZD5	SIX3	0.426
FZD5	RORA	0.796
FZD5	WNT1	0.976
FZD5	FZD8	0.690
FZD5	CTNNB1	0.797
FZD5	WNT5B	0.941
FZD8	SFRP1	0.768
FZD8	WNT1	0.995
FZD8	FRZB	0.567
FZD8	PRICKLE1	0.405
FZD8	FZD5	0.690
FZD8	DAAM1	0.404
FZD8	TCF7L2	0.407
FZD8	CTNNB1	0.798
FZD8	WNT5B	0.961
GADD45A	GADD45G	0.959
GADD45A	DDB2	0.621
GADD45A	CDK6	0.612
GADD45A	PLK2	0.420
GADD45A	ZMAT3	0.432
GADD45A	FOXO3	0.752
GADD45A	CCNG1	0.597
GADD45A	IGFBP3	0.431
GADD45A	BCL2L11	0.580
GADD45A	CDKN1A	0.974
GADD45G	AUTS2	0.401
GADD45G	CDKN1A	0.729
GADD45G	GADD45A	0.959
GAS1	GLI1	0.586
GAS1	SIX3	0.621
GAS1	HHIP	0.736
GAS1	SHH	0.999
GAS1	TNNT1	0.442
GAS1	GLI2	0.607
GAS1	GLI3	0.633
GAS1	ZIC2	0.727
GAS1	CDON	0.995
GAS1	PTCH1	0.998
GFPT1	XBP1	0.862
GFPT1	ASS1	0.400
GFPT1	SAT1	0.487
GJA1	VCL	0.795
GJA1	BMP4	0.505
GJA1	FGF2	0.601
GJA1	EGF	0.644
GJA1	CDH11	0.507
GJA1	CDKN1A	0.430
GJA1	COL1A2	0.476
GJA1	NES	0.508
GJA1	PITX2	0.548
GJA1	SOX2	0.612
GJA1	FN1	0.739
GJA1	DSP	0.840
GJA1	CTNNB1	0.870
GLI1	SFRP1	0.691
GLI1	SEM1	0.400
GLI1	IGF1R	0.407
GLI1	PSMB7	0.410
GLI1	FN1	0.418
GLI1	NKX2-1	0.451
GLI1	FGF2	0.458
GLI1	LRIG1	0.465
GLI1	IQCE	0.467
GLI1	OTX2	0.468
GLI1	BMP7	0.487
GLI1	FGFR2	0.488
GLI1	WNT1	0.503
GLI1	FOXA2	0.511
GLI1	JAG1	0.524
GLI1	CDON	0.552
GLI1	ZNF521	0.577
GLI1	FGF8	0.581
GLI1	GAS1	0.586
GLI1	NES	0.587
GLI1	PAX6	0.590
GLI1	NKX2-2	0.591
GLI1	EGF	0.614
GLI1	BMP4	0.644
GLI1	SOX2	0.772
GLI1	CTNNB1	0.829
GLI1	HHIP	0.898
GLI1	GLI3	0.923
GLI1	GLI2	0.958
GLI1	PTCH1	0.978
GLI1	SHH	0.979
GLI2	SFRP1	0.468
GLI2	GLI1	0.958
GLI2	BMP4	0.548
GLI2	JAG1	0.480
GLI2	PSMB7	0.410
GLI2	SIX3	0.774
GLI2	WNT1	0.416
GLI2	HHIP	0.821
GLI2	SHH	0.975
GLI2	GAS1	0.607
GLI2	FGF8	0.541
GLI2	SOX2	0.694
GLI2	PTCH1	0.972
GLI2	NKX2-1	0.411
GLI2	ZNF521	0.603
GLI2	NES	0.470
GLI2	ZIC2	0.495
GLI2	NKX2-2	0.528
GLI2	CDON	0.623
GLI2	BMP7	0.441
GLI2	GLI3	0.941
GLI2	SEM1	0.460
GLI2	SLIT2	0.477
GLI2	FOXA2	0.479
GLI2	ROBO1	0.503
GLI2	PAX6	0.535
GLI2	OTX2	0.555
GLI2	CTNNB1	0.634
GLI3	SFRP1	0.433
GLI3	GLI1	0.923
GLI3	BMP4	0.550
GLI3	JAG1	0.423
GLI3	PSMB7	0.426
GLI3	WNT1	0.403
GLI3	HHIP	0.789
GLI3	SHH	0.966
GLI3	GAS1	0.633
GLI3	FGF8	0.679
GLI3	SOX2	0.747
GLI3	PTCH1	0.989
GLI3	FOXG1	0.423
GLI3	NKX2-1	0.412
GLI3	COL4A2	0.404
GLI3	SMOC1	0.415
GLI3	NES	0.448
GLI3	ZIC2	0.625
GLI3	NKX2-2	0.472
GLI3	CDON	0.526
GLI3	BMP7	0.416
GLI3	SEM1	0.400
GLI3	FGFR2	0.407
GLI3	IQCE	0.437
GLI3	FOXA2	0.439
GLI3	OTX2	0.444
GLI3	PAX6	0.600
GLI3	CTNNB1	0.686
GLI3	GLI2	0.941
GNG11	ADGRL1	0.469
GNG11	FZD5	0.499
GNG11	RGS16	0.518
GNG11	GRIK3	0.534
GNG11	LPAR1	0.611
GNG11	RASGRF2	0.653
GNG11	HTR1D	0.681
GNG11	PLCB4	0.703
GNG11	NMU	0.711
GRIA1	LMAN1	0.511
GRIA1	NTRK2	0.667
GRIA1	SEC24D	0.526
GRIA1	EPB41L2	0.752
GRIA1	GRIK3	0.822
GRIA1	NLGN1	0.633
GRIA1	CALM1	0.542
GRIK3	GNG11	0.534
GRIK3	CALM1	0.566
GRIK3	GRIA1	0.822
HHIP	SFRP1	0.439
HHIP	GLI1	0.898
HHIP	HNRNPU	0.410
HHIP	OTX2	0.440
HHIP	COL11A1	0.459
HHIP	CDON	0.592
HHIP	GAS1	0.736
HHIP	GLI3	0.789
HHIP	GLI2	0.821
HHIP	PTCH1	0.969
HHIP	SHH	0.999
HIPK2	CTNNB1	0.410
HNRNPU	SRSF6	0.778
HNRNPU	KPNB1	0.450
HNRNPU	HHIP	0.410
HNRNPU	SOX2	0.419
HNRNPU	TPM1	0.420
HNRNPU	AGO1	0.577
HS3ST3B1	SULF2	0.418
HS3ST3B1	HS6ST2	0.509
HS6ST2	SULF2	0.593
HS6ST2	HS3ST3B1	0.509
HTR1D	GNG11	0.681
HTR1D	HTR2C	0.558
HTR2C	HTR1D	0.558
ID2	SOX2	0.418
ID2	CTNNB1	0.422
ID2	RORA	0.430
ID2	BMP7	0.466
ID2	TCF7L2	0.525
ID2	BMP4	0.536
ID2	CDKN1A	0.541
ID2	TCF12	0.924
IFITM3	CXCL10	0.508
IFITM3	FTL	0.474
IGDCC3	FN1	0.442
IGDCC3	CADPS	0.570
IGF1R	GLI1	0.407
IGF1R	BMP4	0.469
IGF1R	FOXA1	0.406
IGF1R	JAG1	0.600
IGF1R	FGF2	0.900
IGF1R	EGF	0.997
IGF1R	SHH	0.431
IGF1R	IRS1	0.999
IGF1R	FGF8	0.848
IGF1R	SOX2	0.637
IGF1R	FOXO3	0.674
IGF1R	CCNG1	0.445
IGF1R	FN1	0.875
IGF1R	EPHA2	0.543
IGF1R	IRS4	0.968
IGF1R	IRS2	0.998
IGF1R	PLCB4	0.683
IGF1R	IGFBP3	0.960
IGF1R	PDGFD	0.725
IGF1R	BCL2L11	0.447
IGF1R	CDKN1A	0.510
IGF1R	FGFR2	0.532
IGF1R	CTNNB1	0.985
IGFBP3	SFRP1	0.403
IGFBP3	LGALS3	0.449
IGFBP3	FGF2	0.659
IGFBP3	EGF	0.657
IGFBP3	COL1A2	0.468
IGFBP3	IRS1	0.531
IGFBP3	CXCL10	0.521
IGFBP3	CLU	0.598
IGFBP3	FN1	0.967
IGFBP3	GADD45A	0.431
IGFBP3	IRS2	0.430
IGFBP3	PODXL	0.470
IGFBP3	CTNNB1	0.431
IGFBP3	CDKN1A	0.489
IGFBP3	LTBP1	0.508
IGFBP3	IGF1R	0.960
IL17RD	VCL	0.627
IL17RD	SPRY1	0.453
IL17RD	FEZF1	0.500
IL17RD	FN1	0.611
IL17RD	SPRY2	0.639
IL17RD	FGFR2	0.653
IL17RD	FGF8	0.669
IL17RD	SPRY4	0.871
INPP5F	PLCB4	0.905
IQCE	GLI1	0.467
IQCE	NAV1	0.450
IQCE	GLI3	0.437
IRS1	VCL	0.603
IRS1	XBP1	0.443
IRS1	LGALS3	0.480
IRS1	EGF	0.486
IRS1	NTRK2	0.974
IRS1	FGF8	0.520
IRS1	IGFBP3	0.531
IRS1	TCF7L2	0.585
IRS1	FOXO3	0.629
IRS1	CTNNB1	0.686
IRS1	FGFR3	0.703
IRS1	EPHA2	0.726
IRS1	FN1	0.777
IRS1	FGFR2	0.817
IRS1	IRS4	0.973
IRS1	IRS2	0.997
IRS1	IGF1R	0.999
IRS2	NTRK2	0.522
IRS2	IRS1	0.997
IRS2	FOXO3	0.681
IRS2	IRS4	0.983
IRS2	IGFBP3	0.430
IRS2	IGF1R	0.998
IRS4	IRS1	0.973
IRS4	IGF1R	0.968
IRS4	IRS2	0.983
ITGA6	VCL	0.420
ITGA6	ITGB8	0.765
ITGA6	JAG1	0.415
ITGA6	LAMC1	0.979
ITGA6	FGF2	0.502
ITGA6	ITGA9	0.605
ITGA6	TNC	0.686
ITGA6	EGF	0.570
ITGA6	FRZB	0.564
ITGA6	ITGB5	0.907
ITGA6	COL1A2	0.751
ITGA6	SOX2	0.607
ITGA6	FN1	0.928
ITGA6	COL4A2	0.769
ITGA6	NES	0.700
ITGA6	LPAR1	0.440
ITGA6	PODXL	0.523
ITGA6	COL2A1	0.713
ITGA6	KRT4	0.471
ITGA6	CTNNB1	0.542
ITGA6	CALM1	0.585
ITGA9	ITGB8	0.783
ITGA9	LAMC1	0.742
ITGA9	ITGA6	0.605
ITGA9	COL2A1	0.702
ITGA9	COL1A2	0.705
ITGA9	SAT1	0.737
ITGA9	COL4A2	0.740
ITGA9	ITGB5	0.806
ITGA9	FN1	0.945
ITGA9	TNC	0.952
ITGB5	VCL	0.907
ITGB5	ITGB8	0.945
ITGB5	LAMC1	0.814
ITGB5	ITGA9	0.806
ITGB5	TNC	0.701
ITGB5	PCSK5	0.477
ITGB5	CALM1	0.508
ITGB5	TPM1	0.647
ITGB5	EPHA2	0.672
ITGB5	COL2A1	0.696
ITGB5	LTBP1	0.716
ITGB5	MYLK	0.760
ITGB5	COL1A2	0.791
ITGB5	COL4A2	0.857
ITGB5	ITGA6	0.907
ITGB5	FN1	0.995
ITGB8	VCL	0.437
ITGB8	LTBP1	0.643
ITGB8	TNC	0.688
ITGB8	COL2A1	0.699
ITGB8	LAMC1	0.708
ITGB8	COL1A2	0.723
ITGB8	ITGA6	0.765
ITGB8	ITGA9	0.783
ITGB8	COL4A2	0.798
ITGB8	FN1	0.930
ITGB8	ITGB5	0.945
JAG1	GLI1	0.524
JAG1	BMP4	0.571
JAG1	CDK6	0.400
JAG1	ITGA6	0.415
JAG1	BMP7	0.420
JAG1	GLI3	0.423
JAG1	PTCH1	0.444
JAG1	CDKN1A	0.454
JAG1	SPRY2	0.474
JAG1	NKD1	0.476
JAG1	GLI2	0.480
JAG1	FGF8	0.498
JAG1	FN1	0.500
JAG1	NTRK2	0.502
JAG1	NES	0.524
JAG1	FGF2	0.536
JAG1	FGFR2	0.596
JAG1	IGF1R	0.600
JAG1	SHH	0.616
JAG1	WNT1	0.694
JAG1	SOX2	0.701
JAG1	CTNNB1	0.796
JAG1	EGF	0.869
JAM2	CLDN3	0.445
KDELR2	SEC24D	0.496
KDELR2	RAB1A	0.599
KDELR2	ARF1	0.611
KDELR2	SURF4	0.691
KDELR2	ARCN1	0.711
KDELR2	COPB2	0.717
KDELR2	ARF4	0.778
KIF21A	ARF4	0.514
KIF21A	ARF1	0.545
KIF21A	PHLDB2	0.668
KPNB1	FN1	0.407
KPNB1	CUL4B	0.416
KPNB1	HNRNPU	0.450
KPNB1	CTNNB1	0.475
KPNB1	NCOA5	0.542
KRT4	ITGA6	0.471
L1TD1	SOX2	0.541
LAMC1	LGALS1	0.631
LAMC1	ITGB8	0.708
LAMC1	LGALS3	0.439
LAMC1	COL11A1	0.432
LAMC1	TNC	0.447
LAMC1	EGF	0.561
LAMC1	LTBP1	0.579
LAMC1	DMD	0.687
LAMC1	FN1	0.700
LAMC1	COL1A2	0.701
LAMC1	ITGA9	0.742
LAMC1	ITGB5	0.814
LAMC1	COL4A2	0.814
LAMC1	ITGA6	0.979
LDB2	NKX2-2	0.480
LDB2	TCF12	0.662
LDB2	SSBP3	0.887
LDB2	LHX2	0.941
LGALS1	PTPRZ1	0.411
LGALS1	TMSB10	0.427
LGALS1	SERPINH1	0.451
LGALS1	EGF	0.493
LGALS1	NLGN1	0.540
LGALS1	LAMC1	0.631
LGALS1	LGALS3	0.735
LGALS1	ANXA2	0.766
LGALS1	FN1	0.878
LGALS3	LGALS1	0.735
LGALS3	CXCL10	0.402
LGALS3	LAMC1	0.439
LGALS3	IGFBP3	0.449
LGALS3	DSP	0.457
LGALS3	PTPRZ1	0.460
LGALS3	FGFR2	0.476
LGALS3	IRS1	0.480
LGALS3	SERPINH1	0.542
LGALS3	FGF2	0.613
LGALS3	CLU	0.626
LGALS3	EGF	0.773
LGALS3	SLC3A2	0.829
LGALS3	ANXA2	0.832
LGALS3	CTNNB1	0.865
LGALS3	FN1	0.985
LHX2	BMP4	0.507
LHX2	SIX3	0.763
LHX2	SLIT1	0.628
LHX2	SHH	0.581
LHX2	LDB2	0.941
LHX2	FGF8	0.427
LHX2	SOX2	0.601
LHX2	SOX1	0.464
LHX2	FOXG1	0.731
LHX2	NKX2-1	0.444
LHX2	NES	0.447
LHX2	VAX1	0.470
LHX2	SSBP3	0.726
LHX2	POU3F1	0.405
LHX2	BMP7	0.437
LHX2	ZIC2	0.445
LHX2	NKX2-2	0.446
LHX2	SP8	0.520
LHX2	FEZF1	0.554
LHX2	SLIT2	0.574
LHX2	PAX6	0.576
LHX2	ROBO1	0.811
LMAN1	PODXL	0.417
LMAN1	RAB1A	0.429
LMAN1	ARCN1	0.468
LMAN1	GRIA1	0.511
LMAN1	MAN2A1	0.521
LMAN1	ARF1	0.696
LMAN1	COPB2	0.739
LMAN1	SEC24D	0.785
LMAN1	SURF4	0.949
LPAR1	GNG11	0.611
LPAR1	FGF2	0.433
LPAR1	FRZB	0.448
LPAR1	COL1A2	0.443
LPAR1	CXCL10	0.481
LPAR1	RGS16	0.559
LPAR1	ITGA6	0.440
LPAR1	CALM1	0.510
LRIG1	GLI1	0.465
LRIG1	EGF	0.776
LRIG1	CTNNB1	0.462
LRIG1	ADGRL1	0.515
LRP4	BMP4	0.496
LRP4	SHH	0.414
LRP4	FGF8	0.483
LRP4	SPON1	0.503
LRRN3	ADGRL1	0.553
LRRN3	NELL2	0.519
LSAMP	NLGN1	0.430
LTBP1	ITGB8	0.643
LTBP1	LAMC1	0.579
LTBP1	ITGB5	0.716
LTBP1	COL1A2	0.606
LTBP1	CLU	0.622
LTBP1	FN1	0.949
LTBP1	IGFBP3	0.508
LTBP1	FBN2	0.677
MAN2A1	LMAN1	0.521
MAN2A1	PTCH1	0.465
MAN2A1	C1GALT1	0.516
MAN2A1	COPB2	0.859
MARCKSL1	ADD3	0.463
MBIP	NKX2-8	0.405
MBIP	NKX2-1	0.474
ME3	AARS1	0.410
MICAL1	RAB1A	0.485
MRPS6	ECHDC2	0.458
MSI2	CDKN1A	0.514
MSI2	PBX1	0.551
MSI2	QKI	0.585
MSI2	BCAT1	0.628
MSI2	SOX2	0.772
MVP	ANXA2	0.431
MYLK	VCL	0.814
MYLK	ITGB5	0.760
MYLK	COL1A2	0.462
MYLK	TPM1	0.857
MYLK	FBN2	0.503
MYLK	CALM1	0.992
MYO16	COL1A2	0.401
MYRF	NKX2-2	0.617
NAV1	IQCE	0.450
NBL1	BMP4	0.920
NBL1	BMP7	0.916
NCOA5	KPNB1	0.542
NELL2	LRRN3	0.519
NELL2	ROBO1	0.404
NES	GLI1	0.587
NES	BMP4	0.667
NES	JAG1	0.524
NES	SIX3	0.452
NES	FGF2	0.836
NES	EGF	0.789
NES	SLIT1	0.515
NES	NTRK2	0.546
NES	GJA1	0.508
NES	WNT1	0.452
NES	SHH	0.703
NES	FGF8	0.621
NES	SOX2	0.891
NES	SOX1	0.795
NES	PTCH1	0.432
NES	FOXG1	0.730
NES	FGFR3	0.545
NES	FN1	0.630
NES	NKX2-1	0.431
NES	BMPR2	0.428
NES	LHX2	0.447
NES	GLI3	0.448
NES	GLI2	0.470
NES	NKX2-2	0.506
NES	COL2A1	0.551
NES	OTX2	0.621
NES	CTNNB1	0.626
NES	FOXA2	0.637
NES	ITGA6	0.700
NES	PAX6	0.859
NES	DCX	0.876
NKD1	SFRP1	0.434
NKD1	JAG1	0.476
NKD1	WNT5B	0.431
NKD1	PRICKLE1	0.487
NKD1	SPRY2	0.526
NKD1	WNT1	0.649
NKD1	CTNNB1	0.739
NKX2-1	GLI1	0.451
NKX2-1	BMP4	0.518
NKX2-1	FOXA1	0.916
NKX2-1	SIX3	0.557
NKX2-1	SHH	0.689
NKX2-1	FGF8	0.476
NKX2-1	SOX2	0.627
NKX2-1	SOX1	0.456
NKX2-1	PTCH1	0.407
NKX2-1	FOXG1	0.697
NKX2-1	GLI2	0.411
NKX2-1	GLI3	0.412
NKX2-1	NES	0.431
NKX2-1	SP8	0.433
NKX2-1	LHX2	0.444
NKX2-1	MBIP	0.474
NKX2-1	CTNNB1	0.476
NKX2-1	FOXA2	0.778
NKX2-2	GLI1	0.591
NKX2-2	BMP4	0.405
NKX2-2	FOXA1	0.478
NKX2-2	SIX3	0.455
NKX2-2	FGF2	0.434
NKX2-2	MYRF	0.617
NKX2-2	SHH	0.821
NKX2-2	LDB2	0.480
NKX2-2	FGF8	0.416
NKX2-2	SOX2	0.600
NKX2-2	SOX1	0.590
NKX2-2	PTCH1	0.527
NKX2-2	FOXG1	0.545
NKX2-2	NES	0.506
NKX2-2	LHX2	0.446
NKX2-2	TCF7L2	0.407
NKX2-2	GLI3	0.472
NKX2-2	GLI2	0.528
NKX2-2	OTX2	0.554
NKX2-2	FOXA2	0.855
NKX2-2	PAX6	0.880
NKX2-8	FOXA1	0.461
NKX2-8	MBIP	0.405
NKX2-8	OTX2	0.431
NLGN1	EFNB1	0.577
NLGN1	LGALS1	0.540
NLGN1	TLE6	0.491
NLGN1	NTRK2	0.534
NLGN1	ELAVL4	0.556
NLGN1	EPB41L2	0.513
NLGN1	LSAMP	0.430
NLGN1	CTNNB1	0.553
NLGN1	GRIA1	0.633
NMU	GNG11	0.711
NMU	COL1A2	0.402
NMU	RGS16	0.499
NMU	EDNRA	0.523
NTN1	EPHA4	0.460
NTN1	VAX1	0.479
NTN1	SHH	0.539
NTN1	FN1	0.562
NTN1	TRIM9	0.571
NTN1	EFNB1	0.647
NTN1	RGMA	0.658
NTN1	SLIT1	0.809
NTN1	SLIT2	0.821
NTN1	ROBO1	0.824
NTRK2	EFNB1	0.564
NTRK2	BMP4	0.556
NTRK2	JAG1	0.502
NTRK2	FGF2	0.908
NTRK2	EGF	0.884
NTRK2	CTNNB1	0.431
NTRK2	DDC	0.449
NTRK2	CNTN6	0.466
NTRK2	FGFR3	0.479
NTRK2	IRS2	0.522
NTRK2	OPCML	0.530
NTRK2	EPHA7	0.530
NTRK2	DCX	0.532
NTRK2	NLGN1	0.534
NTRK2	NES	0.546
NTRK2	PTPRZ1	0.574
NTRK2	GRIA1	0.667
NTRK2	PDGFD	0.667
NTRK2	FGF8	0.762
NTRK2	TIAM1	0.908
NTRK2	IRS1	0.974
OCIAD2	RNF150	0.462
OPCML	NTRK2	0.530
OPCML	EPHA2	0.430
OPCML	PDE4D	0.439
OPCML	FGFR3	0.473
OTX2	GLI1	0.468
OTX2	BMP4	0.635
OTX2	FOXA1	0.480
OTX2	NKX2-8	0.431
OTX2	SIX3	0.878
OTX2	FGF2	0.559
OTX2	ZIC5	0.501
OTX2	WNT1	0.750
OTX2	HHIP	0.440
OTX2	SHH	0.740
OTX2	FGF8	0.808
OTX2	SOX2	0.914
OTX2	SOX1	0.807
OTX2	FOXG1	0.781
OTX2	NES	0.621
OTX2	POU3F1	0.582
OTX2	ZIC2	0.684
OTX2	TLE4	0.659
OTX2	NKX2-2	0.554
OTX2	GLI3	0.444
OTX2	GLI2	0.555
OTX2	FOXA2	0.918
OTX2	FGFR2	0.471
OTX2	PAX6	0.479
OTX2	PITX2	0.411
OTX2	CTNNB1	0.491
PALLD	VCL	0.469
PALLD	PRSS23	0.457
PALLD	COL1A2	0.411
PALLD	PODXL	0.512
PAWR	BMPR2	0.430
PAX6	RCN1	0.541
PAX6	XBP1	0.438
PAX6	GLI1	0.590
PAX6	BMP4	0.672
PAX6	FOXA1	0.496
PAX6	SIX3	0.951
PAX6	FGF2	0.708
PAX6	EGF	0.614
PAX6	SLIT1	0.609
PAX6	WNT1	0.534
PAX6	SHH	0.829
PAX6	FGF8	0.680
PAX6	SOX2	0.977
PAX6	SOX1	0.899
PAX6	PTCH1	0.494
PAX6	FOXG1	0.865
PAX6	FOXO3	0.502
PAX6	FN1	0.404
PAX6	ELAVL4	0.432
PAX6	NES	0.859
PAX6	VAX1	0.416
PAX6	POU3F1	0.408
PAX6	LHX2	0.576
PAX6	ZIC2	0.494
PAX6	TLE4	0.466
PAX6	NKX2-2	0.880
PAX6	PDGFD	0.404
PAX6	BMP7	0.441
PAX6	GLI3	0.600
PAX6	GLI2	0.535
PAX6	FOXA2	0.814
PAX6	PBX1	0.709
PAX6	SP8	0.600
PAX6	SLIT2	0.503
PAX6	TCF7L2	0.424
PAX6	DCX	0.661
PAX6	OTX2	0.479
PAX6	CTNNB1	0.602
PAX6	PITX2	0.605
PBX1	XBP1	0.449
PBX1	FOXA1	0.876
PBX1	MSI2	0.551
PBX1	SOX2	0.870
PBX1	FOXO3	0.697
PBX1	SPRY2	0.489
PBX1	TCF12	0.519
PBX1	PAX6	0.709
PCSK5	ITGB5	0.477
PDE4D	OPCML	0.439
PDE4D	PLCB4	0.416
PDGFD	EGF	0.937
PDGFD	NTRK2	0.667
PDGFD	FGFR3	0.788
PDGFD	EPHA2	0.705
PDGFD	PAX6	0.404
PDGFD	FGFR2	0.719
PDGFD	IGF1R	0.725
PGRMC1	FDFT1	0.627
PHLDB2	PRICKLE1	0.742
PHLDB2	KIF21A	0.668
PITX2	BMP4	0.756
PITX2	SIX3	0.664
PITX2	GJA1	0.548
PITX2	SHH	0.779
PITX2	EDNRA	0.400
PITX2	FGF8	0.549
PITX2	SOX2	0.503
PITX2	BMP7	0.440
PITX2	FOXA2	0.406
PITX2	PAX6	0.605
PITX2	OTX2	0.411
PITX2	CTNNB1	0.963
PLAGL1	SLC38A4	0.449
PLAGL1	DLK1	0.800
PLAGL1	RFX4	0.484
PLAGL1	RTL1	0.472
PLCB4	GNG11	0.703
PLCB4	FGFR3	0.650
PLCB4	PDE4D	0.416
PLCB4	EPHA2	0.650
PLCB4	FGFR2	0.681
PLCB4	IGF1R	0.683
PLCB4	INPP5F	0.905
PLK2	CDK6	0.491
PLK2	SEPTIN3	0.400
PLK2	CDKN1A	0.400
PLK2	GADD45A	0.420
PLK2	CCNG1	0.554
PNMA2	SOX1	0.745
PNMA2	ELAVL4	0.538
PODXL	LMAN1	0.417
PODXL	SOX2	0.442
PODXL	FN1	0.404
PODXL	IGFBP3	0.470
PODXL	PALLD	0.512
PODXL	ITGA6	0.523
POU3F1	ETV5	0.430
POU3F1	SOX2	0.583
POU3F1	SOX1	0.463
POU3F1	LHX2	0.405
POU3F1	PAX6	0.408
POU3F1	OTX2	0.582
POU3F1	ZIC2	0.636
PRDM16	FOXG1	0.715
PRDM16	BMP7	0.783
PRDX6	FTL	0.502
PRICKLE1	SFRP1	0.434
PRICKLE1	PSMB7	0.400
PRICKLE1	NKD1	0.487
PRICKLE1	FZD8	0.405
PRICKLE1	FJX1	0.406
PRICKLE1	SEM1	0.436
PRICKLE1	CTNNB1	0.514
PRICKLE1	PHLDB2	0.742
PRICKLE1	DAAM1	0.746
PRRX2	COL1A2	0.414
PRRX2	FGF8	0.468
PRSS23	PALLD	0.457
PSMB7	GLI1	0.410
PSMB7	PRICKLE1	0.400
PSMB7	GLI2	0.410
PSMB7	GLI3	0.426
PSMB7	SHH	0.438
PSMB7	CDKN1A	0.438
PTCH1	SFRP1	0.531
PTCH1	GLI1	0.978
PTCH1	BMP4	0.698
PTCH1	JAG1	0.444
PTCH1	SIX3	0.655
PTCH1	MAN2A1	0.465
PTCH1	FGF2	0.455
PTCH1	EGF	0.433
PTCH1	WNT1	0.463
PTCH1	HHIP	0.969
PTCH1	SHH	0.999
PTCH1	GAS1	0.998
PTCH1	FGF8	0.554
PTCH1	SOX2	0.532
PTCH1	NKX2-1	0.407
PTCH1	BMP7	0.416
PTCH1	FGFR3	0.423
PTCH1	NES	0.432
PTCH1	FOXA2	0.443
PTCH1	FGFR2	0.448
PTCH1	PAX6	0.494
PTCH1	NKX2-2	0.527
PTCH1	FN1	0.559
PTCH1	ZIC2	0.646
PTCH1	CTNNB1	0.731
PTCH1	GLI2	0.972
PTCH1	GLI3	0.989
PTCH1	CDON	0.998
PTPRZ1	LGALS1	0.411
PTPRZ1	LGALS3	0.460
PTPRZ1	FGF2	0.634
PTPRZ1	NTRK2	0.574
PTPRZ1	FGF8	0.482
PTPRZ1	SOX2	0.586
PTPRZ1	FN1	0.404
PTPRZ1	CTNNB1	0.511
QKI	SRSF6	0.469
QKI	MSI2	0.585
QKI	SOX2	0.504
QKI	CALM1	0.411
QKI	BCL2L11	0.541
RAB1A	LMAN1	0.429
RAB1A	KDELR2	0.599
RAB1A	ARCN1	0.706
RAB1A	SEC24D	0.687
RAB1A	ARF4	0.760
RAB1A	COPB2	0.683
