X,Figure1E,Figure2C,Figure2D,Figure2H,Figure4B,genes,sc_w3_w4,mouse
ENSG00000159267,dAN,NA,NA,NA,NA,HLCS,expressed,NA
ENSG00000159307,vAN,NA,NA,NA,NA,SCUBE1,expressed,NA
ENSG00000159403,vAN,NA,NA,NA,Cluster 1,C1R,expressed,NA
ENSG00000159556,dAN,NA,NA,NA,NA,ISL2,expressed,NA
ENSG00000159733,vAN,NA,NA,NA,NA,ZFYVE28,expressed,NA
ENSG00000160111,vAN,Ventral forebrain,NA,NA,Cluster 1,CPAMD8,expressed,NA
ENSG00000160179,vAN,NA,NA,NA,Cluster 1,ABCG1,expressed,NA
ENSG00000160180,vAN,Ventral forebrain,NA,NA,NA,TFF3,expressed,NA
ENSG00000160188,vAN,Ventral forebrain,NA,NA,NA,RSPH1,expressed,NA
ENSG00000160190,vAN,Ventral forebrain,NA,NA,NA,SLC37A1,expressed,NA
ENSG00000160345,vAN,NA,NA,NA,Cluster 1,PIERCE1,NA,NA
ENSG00000160472,vAN,NA,NA,NA,NA,TMEM190,expressed,NA
ENSG00000160685,dAN,NA,NA,NA,NA,ZBTB7B,expressed,NA
ENSG00000160712,dAN,NA,NA,NA,NA,IL6R,expressed,NA
ENSG00000160781,vAN,NA,NA,NA,NA,PAQR6,expressed,NA
ENSG00000160789,dAN,NA,NA,NA,NA,LMNA,expressed,NA
ENSG00000161082,vAN,NA,NA,NA,NA,CELF5,expressed,NA
ENSG00000161243,dAN,NA,NA,NA,NA,FBXO27,expressed,NA
ENSG00000161558,vAN,NA,NA,NA,NA,TMEM143,expressed,NA
ENSG00000161610,vAN,NA,NA,NA,NA,HCRT,expressed,NA
ENSG00000162105,vAN,NA,NA,NA,Cluster 1,SHANK2,expressed,NA
ENSG00000162188,dAN,Dorsal forebrain,NA,NA,NA,GNG3,expressed,NA
ENSG00000162494,dAN,NA,NA,NA,NA,LRRC38,NA,NA
ENSG00000162542,vAN,NA,NA,NA,NA,TMCO4,expressed,NA
ENSG00000162543,vAN,Ventral forebrain,NA,NA,Cluster 1,UBXN10,expressed,NA
ENSG00000162551,dAN,Early differentiation,NA,NA,NA,ALPL,expressed,NA
ENSG00000162552,dAN,NA,NA,NA,Cluster 1,WNT4,expressed,NA
ENSG00000162576,vAN,Ventral forebrain,NA,NA,Cluster 1,MXRA8,expressed,NA
ENSG00000162599,vAN,Ventral forebrain,NA,NA,NA,NFIA,expressed,NA
ENSG00000162618,dAN,NA,NA,NA,NA,ADGRL4,NA,NA
ENSG00000162631,vAN,Ventral forebrain,NA,NA,NA,NTNG1,expressed,NA
ENSG00000162643,vAN,NA,NA,NA,NA,DNAI3,NA,NA
ENSG00000162692,dAN,NA,NA,NA,NA,VCAM1,expressed,NA
ENSG00000162745,dAN,NA,NA,NA,NA,OLFML2B,expressed,NA
ENSG00000162761,dAN,NA,NA,NA,NA,LMX1A,expressed,NA
ENSG00000162772,dAN,Dorsal forebrain,NA,NA,NA,ATF3,expressed,NA
ENSG00000162814,vAN,NA,NA,NA,NA,SPATA17,expressed,NA
ENSG00000162825,vAN,NA,NA,NA,NA,NBPF20,expressed,NA
ENSG00000162878,vAN,Ventral forebrain,NA,NA,NA,PKDCC,expressed,NA
ENSG00000162976,vAN,Ventral forebrain,NA,NA,Cluster 1,SLC66A3,NA,NA
ENSG00000162998,vAN,Ventral forebrain,NA,2,Cluster 1,FRZB,expressed,tested
ENSG00000163013,vAN,Early differentiation,NA,NA,NA,FBXO41,expressed,NA
ENSG00000163032,dAN,NA,NA,NA,NA,VSNL1,expressed,NA
ENSG00000163064,dAN,NA,NA,NA,NA,EN1,expressed,NA
ENSG00000163121,dAN,NA,NA,NA,NA,NEURL3,NA,NA
ENSG00000163132,dAN,Dorsal forebrain,NA,NA,NA,MSX1,expressed,NA
ENSG00000163171,vAN,NA,NA,NA,Cluster 1,CDC42EP3,expressed,NA
ENSG00000163191,dAN,NA,NA,NA,NA,S100A11,expressed,NA
ENSG00000163251,vAN,Ventral forebrain,NA,2,NA,FZD5,expressed,NA
ENSG00000163273,dAN,NA,NA,NA,NA,NPPC,expressed,NA
ENSG00000163293,dAN,NA,NA,NA,NA,NIPAL1,expressed,NA
ENSG00000163347,dAN,NA,NA,NA,NA,CLDN1,expressed,NA
ENSG00000163435,dAN,NA,NA,NA,NA,ELF3,expressed,NA
ENSG00000163485,dAN,Dorsal forebrain,NA,NA,NA,ADORA1,expressed,NA
ENSG00000163508,dAN,NA,NA,NA,NA,EOMES,expressed,NA
ENSG00000163536,vAN,Ventral forebrain,NA,NA,NA,SERPINI1,expressed,NA
ENSG00000163545,dAN,Dorsal forebrain,NA,NA,Cluster 2,NUAK2,expressed,tested
ENSG00000163590,vAN,Ventral forebrain,NA,NA,NA,PPM1L,expressed,NA
ENSG00000163617,vAN,NA,NA,NA,Cluster 1,CCDC191,NA,NA
ENSG00000163638,dAN,NA,NA,NA,NA,ADAMTS9,expressed,NA
ENSG00000163661,dAN,NA,NA,1,NA,PTX3,expressed,NA
ENSG00000163666,vAN,NA,NA,NA,NA,HESX1,expressed,NA
ENSG00000163694,dAN,NA,NA,NA,NA,RBM47,expressed,NA
ENSG00000163710,dAN,Early differentiation,NA,NA,NA,PCOLCE2,expressed,NA
ENSG00000163762,dAN,NA,NA,NA,NA,TM4SF18,expressed,NA
ENSG00000163814,dAN,Early differentiation,NA,NA,NA,CDCP1,expressed,NA
ENSG00000163864,vAN,NA,NA,NA,NA,NMNAT3,expressed,NA
ENSG00000163873,vAN,NA,NA,NA,Cluster 1,GRIK3,expressed,NA
ENSG00000163885,vAN,NA,NA,NA,NA,CFAP100,NA,NA
ENSG00000163909,dAN,Dorsal forebrain,NA,NA,NA,HEYL,expressed,NA
ENSG00000164023,dAN,NA,NA,NA,NA,SGMS2,expressed,NA
ENSG00000164051,dAN,Dorsal forebrain,NA,NA,NA,CCDC51,expressed,NA
ENSG00000164093,vAN,Ventral forebrain,NA,NA,NA,PITX2,expressed,NA
ENSG00000164106,vAN,NA,NA,NA,NA,SCRG1,expressed,NA
ENSG00000164120,vAN,NA,NA,NA,Cluster 1,HPGD,expressed,NA
ENSG00000164125,vAN,NA,NA,NA,NA,GASK1B,NA,NA
ENSG00000164142,dAN,Early differentiation,NA,NA,NA,FHIP1A,NA,NA
ENSG00000164161,vAN,Ventral forebrain,NA,NA,NA,HHIP,expressed,NA
ENSG00000164188,vAN,NA,NA,NA,NA,RANBP3L,NA,NA
ENSG00000164251,dAN,Early differentiation,NA,NA,NA,F2RL1,expressed,NA
ENSG00000164292,vAN,NA,NA,NA,NA,RHOBTB3,expressed,NA
ENSG00000164300,dAN,Dorsal forebrain,NA,NA,NA,SERINC5,expressed,NA
ENSG00000164330,dAN,Dorsal forebrain,NA,NA,NA,EBF1,expressed,NA
ENSG00000164418,vAN,NA,NA,NA,NA,GRIK2,expressed,NA
ENSG00000164434,vAN,NA,NA,NA,NA,FABP7,expressed,NA
ENSG00000164440,vAN,Ventral forebrain,NA,NA,NA,TXLNB,expressed,NA
ENSG00000164591,vAN,Early differentiation,NA,NA,NA,MYOZ3,expressed,NA
ENSG00000164604,vAN,NA,NA,NA,NA,GPR85,expressed,NA
ENSG00000164651,dAN,Dorsal forebrain,NA,NA,Cluster 2,SP8,expressed,NA
ENSG00000164683,vAN,NA,NA,NA,Cluster 1,HEY1,expressed,NA
ENSG00000164687,vAN,Ventral forebrain,NA,NA,NA,FABP5,expressed,NA
ENSG00000164690,vAN,Ventral forebrain,NA,1,Cluster 1,SHH,expressed,NA
ENSG00000164692,dAN,NA,NA,NA,NA,COL1A2,expressed,NA
ENSG00000164694,vAN,NA,NA,NA,NA,FNDC1,expressed,NA
ENSG00000164761,dAN,NA,NA,NA,NA,TNFRSF11B,expressed,NA
ENSG00000164841,dAN,NA,NA,NA,NA,TMEM74,expressed,NA
ENSG00000164853,dAN,NA,NA,NA,NA,UNCX,expressed,NA
ENSG00000164879,dAN,NA,NA,NA,Cluster 2,CA3,expressed,NA
ENSG00000164929,dAN,NA,NA,NA,Cluster 2,BAALC,expressed,NA
ENSG00000164932,dAN,NA,NA,NA,NA,CTHRC1,expressed,NA
ENSG00000164946,vAN,Ventral forebrain,Higly_DE,1,Cluster 1,FREM1,expressed,NA
ENSG00000164949,dAN,NA,NA,NA,NA,GEM,expressed,NA
ENSG00000164951,dAN,Dorsal forebrain,NA,NA,Cluster 2,PDP1,expressed,NA
ENSG00000164972,vAN,NA,NA,NA,NA,C9orf24,expressed,NA
ENSG00000164976,vAN,NA,NA,NA,Cluster 1,MYORG,NA,NA
ENSG00000165072,dAN,Forebrain,NA,NA,NA,MAMDC2,expressed,NA
ENSG00000165092,dAN,Dorsal forebrain,NA,NA,NA,ALDH1A1,expressed,NA
ENSG00000165105,vAN,Ventral forebrain,NA,NA,NA,RASEF,NA,NA
ENSG00000165194,dAN,Forebrain,NA,1,NA,PCDH19,expressed,NA
ENSG00000165197,dAN,NA,NA,NA,NA,VEGFD,NA,NA
ENSG00000165215,dAN,NA,NA,NA,Cluster 2,CLDN3,expressed,NA
ENSG00000165272,vAN,NA,NA,NA,NA,AQP3,expressed,NA
ENSG00000165309,vAN,NA,NA,NA,NA,ARMC3,expressed,NA
ENSG00000165325,vAN,NA,NA,NA,NA,DEUP1,NA,NA
ENSG00000165376,vAN,NA,NA,NA,NA,CLDN2,NA,NA
ENSG00000165474,dAN,NA,NA,NA,NA,GJB2,NA,NA
ENSG00000165475,vAN,NA,NA,NA,Cluster 1,CRYL1,expressed,NA
ENSG00000165507,vAN,NA,NA,NA,NA,DEPP1,NA,NA
ENSG00000165588,dAN,NA,NA,NA,Cluster 2,OTX2,expressed,NA
ENSG00000165617,dAN,NA,NA,NA,NA,DACT1,expressed,NA
ENSG00000165644,dAN,NA,NA,NA,NA,COMTD1,expressed,NA
ENSG00000165655,dAN,NA,NA,1,NA,ZNF503,expressed,NA
ENSG00000165795,vAN,NA,NA,NA,Cluster 1,NDRG2,expressed,NA
ENSG00000165879,vAN,NA,NA,NA,NA,FRAT1,expressed,NA
ENSG00000165891,dAN,Dorsal forebrain,NA,NA,NA,E2F7,expressed,NA
ENSG00000165905,dAN,Early differentiation,NA,NA,NA,LARGE2,NA,NA
ENSG00000165912,vAN,NA,NA,NA,NA,PACSIN3,expressed,NA
ENSG00000165966,vAN,NA,NA,NA,NA,PDZRN4,expressed,NA
ENSG00000166016,vAN,NA,NA,NA,NA,ABTB2,expressed,NA
ENSG00000166073,vAN,Early differentiation,NA,NA,NA,GPR176,expressed,NA
ENSG00000166106,dAN,NA,NA,NA,NA,ADAMTS15,expressed,NA
ENSG00000166183,vAN,NA,NA,NA,NA,ASPG,expressed,NA
ENSG00000166292,vAN,NA,NA,NA,NA,TMEM100,expressed,NA
ENSG00000166426,dAN,NA,NA,NA,NA,CRABP1,expressed,NA
ENSG00000166473,dAN,NA,NA,NA,NA,PKD1L2,NA,NA
ENSG00000166546,dAN,NA,NA,NA,NA,BEAN1,expressed,NA
ENSG00000166573,vAN,Ventral forebrain,NA,NA,Cluster 1,GALR1,expressed,NA
ENSG00000166596,vAN,NA,NA,NA,NA,CFAP52,NA,NA
ENSG00000166823,vAN,NA,NA,NA,NA,MESP1,expressed,NA
ENSG00000166825,vAN,NA,NA,NA,NA,ANPEP,expressed,NA
ENSG00000167107,vAN,NA,NA,NA,Cluster 1,ACSF2,expressed,NA
ENSG00000167157,vAN,Ventral forebrain,NA,NA,NA,PRRX2,expressed,NA
ENSG00000167332,vAN,NA,NA,NA,NA,OR51E2,NA,NA
ENSG00000167434,dAN,Dorsal forebrain,NA,NA,Cluster 2,CA4,expressed,NA
ENSG00000167553,dAN,NA,NA,NA,NA,TUBA1C,expressed,NA
ENSG00000167600,dAN,Early differentiation,NA,NA,NA,CYP2S1,expressed,NA
ENSG00000167601,dAN,Forebrain,NA,NA,NA,AXL,expressed,NA
ENSG00000167612,vAN,NA,NA,NA,NA,ANKRD33,expressed,NA
ENSG00000167646,vAN,NA,NA,NA,NA,DNAAF3,expressed,NA
ENSG00000167703,vAN,NA,NA,NA,NA,SLC43A2,expressed,NA
ENSG00000167723,dAN,NA,NA,NA,NA,TRPV3,expressed,NA
ENSG00000167858,vAN,NA,NA,NA,NA,TEKT1,expressed,NA
ENSG00000167861,vAN,NA,NA,NA,NA,HID1,expressed,NA
ENSG00000167912,vAN,NA,NA,NA,NA,TOX-DT,NA,NA
ENSG00000168003,dAN,Dorsal forebrain,NA,NA,Cluster 2,SLC3A2,expressed,NA
ENSG00000168004,vAN,NA,NA,NA,NA,PLAAT5,NA,NA
ENSG00000168077,dAN,Dorsal forebrain,NA,NA,NA,SCARA3,expressed,NA
ENSG00000168079,vAN,NA,NA,NA,NA,SCARA5,expressed,NA
ENSG00000168389,dAN,NA,NA,NA,NA,MFSD2A,expressed,NA
ENSG00000168421,dAN,NA,NA,NA,NA,RHOH,expressed,NA
ENSG00000168481,vAN,NA,NA,NA,NA,LGI3,expressed,NA
ENSG00000168505,vAN,NA,NA,NA,NA,GBX2,expressed,NA
ENSG00000168589,vAN,Ventral forebrain,NA,NA,NA,DYNLRB2,expressed,NA
ENSG00000168615,dAN,NA,NA,NA,NA,ADAM9,expressed,NA
ENSG00000168646,dAN,NA,NA,NA,NA,AXIN2,expressed,NA
ENSG00000168671,dAN,Early differentiation,NA,NA,NA,UGT3A2,expressed,NA
ENSG00000168672,dAN,Forebrain,NA,NA,NA,LRATD2,NA,NA
ENSG00000168676,vAN,NA,NA,NA,NA,KCTD19,expressed,NA
ENSG00000168811,dAN,Dorsal forebrain,NA,NA,Cluster 2,IL12A,expressed,NA
ENSG00000168843,vAN,NA,NA,NA,NA,FSTL5,expressed,NA
ENSG00000168918,dAN,NA,NA,NA,NA,INPP5D,expressed,NA
ENSG00000168952,dAN,Dorsal forebrain,NA,NA,NA,STXBP6,expressed,NA
ENSG00000169116,dAN,NA,NA,NA,NA,PARM1,expressed,NA
ENSG00000169129,dAN,Dorsal forebrain,NA,NA,NA,AFAP1L2,expressed,NA
ENSG00000169136,dAN,NA,NA,NA,NA,ATF5,expressed,NA
ENSG00000169218,dAN,NA,NA,NA,NA,RSPO1,expressed,NA
ENSG00000169245,vAN,Ventral forebrain,NA,1,NA,CXCL10,NA,NA
ENSG00000169251,vAN,Ventral forebrain,NA,NA,Cluster 1,NMD3,expressed,NA
ENSG00000169306,dAN,NA,NA,NA,NA,IL1RAPL1,expressed,NA
ENSG00000169439,dAN,NA,NA,NA,NA,SDC2,expressed,NA
ENSG00000169499,vAN,NA,NA,NA,NA,PLEKHA2,expressed,NA
ENSG00000169744,vAN,Ventral forebrain,NA,NA,NA,LDB2,expressed,NA
ENSG00000169836,dAN,NA,NA,NA,NA,TACR3,expressed,NA
ENSG00000169856,dAN,NA,NA,NA,NA,ONECUT1,expressed,NA
ENSG00000169884,dAN,NA,NA,NA,NA,WNT10B,expressed,NA
ENSG00000169891,vAN,NA,NA,NA,Cluster 1,REPS2,expressed,NA
ENSG00000169908,dAN,NA,NA,NA,NA,TM4SF1,expressed,NA
ENSG00000169933,dAN,NA,NA,NA,NA,FRMPD4,expressed,NA
ENSG00000170091,dAN,Dorsal forebrain,NA,NA,NA,NSG2,expressed,NA
ENSG00000170153,vAN,Ventral forebrain,NA,NA,Cluster 1,RNF150,expressed,NA
ENSG00000170190,vAN,NA,NA,NA,NA,SLC16A5,expressed,NA
ENSG00000170293,vAN,Ventral forebrain,NA,NA,NA,CMTM8,expressed,NA
ENSG00000170345,dAN,NA,NA,NA,Cluster 2,FOS,expressed,NA
ENSG00000170369,dAN,NA,NA,NA,NA,CST2,NA,NA
ENSG00000170370,dAN,Dorsal forebrain,NA,NA,NA,EMX2,expressed,NA
ENSG00000170381,vAN,Ventral forebrain,NA,1,NA,SEMA3E,expressed,NA
ENSG00000170477,vAN,Ventral forebrain,NA,NA,NA,KRT4,NA,NA
ENSG00000170542,dAN,NA,NA,NA,NA,SERPINB9,expressed,NA
ENSG00000170545,dAN,NA,NA,2,NA,SMAGP,expressed,NA
ENSG00000170549,dAN,NA,NA,NA,NA,IRX1,expressed,NA
ENSG00000170561,dAN,Early differentiation,NA,NA,NA,IRX2,expressed,NA
ENSG00000170703,vAN,Ventral forebrain,NA,NA,NA,TTLL6,expressed,NA
ENSG00000170745,vAN,NA,NA,NA,NA,KCNS3,expressed,NA
ENSG00000170873,dAN,NA,NA,NA,NA,MTSS1,expressed,NA
ENSG00000170891,vAN,Ventral forebrain,NA,1,NA,CYTL1,expressed,NA
ENSG00000170893,dAN,Dorsal forebrain,NA,NA,Cluster 2,TRH,expressed,NA
ENSG00000170955,dAN,NA,NA,NA,NA,CAVIN3,NA,NA
ENSG00000170959,vAN,NA,NA,NA,NA,DCDC1,expressed,NA
ENSG00000170962,vAN,Ventral forebrain,NA,NA,NA,PDGFD,expressed,NA
ENSG00000170989,dAN,NA,NA,NA,Cluster 1,S1PR1,expressed,NA
ENSG00000171004,dAN,Forebrain,NA,NA,Cluster 2,HS6ST2,expressed,NA
ENSG00000171045,vAN,NA,NA,NA,NA,TSNARE1,expressed,NA
ENSG00000171223,dAN,NA,NA,NA,Cluster 2,JUNB,expressed,NA
ENSG00000171224,vAN,NA,NA,1,NA,FAM241B,NA,NA
ENSG00000171227,vAN,NA,NA,NA,NA,TMEM37,expressed,NA
ENSG00000171243,dAN,NA,NA,NA,NA,SOSTDC1,expressed,NA
ENSG00000171345,dAN,NA,NA,NA,NA,KRT19,expressed,NA
ENSG00000171368,vAN,NA,NA,NA,NA,TPPP,expressed,NA
ENSG00000171388,dAN,NA,NA,NA,NA,APLN,expressed,NA
ENSG00000171408,vAN,NA,NA,NA,NA,PDE7B,expressed,NA
ENSG00000171450,dAN,Dorsal forebrain,NA,NA,NA,CDK5R2,expressed,NA
ENSG00000171476,vAN,NA,NA,NA,Cluster 1,HOPX,expressed,NA
ENSG00000171488,dAN,Dorsal forebrain,NA,NA,Cluster 2,LRRC8C,expressed,NA
ENSG00000171517,vAN,NA,NA,NA,NA,LPAR3,expressed,NA
ENSG00000171540,vAN,NA,NA,NA,NA,OTP,expressed,NA
ENSG00000171724,dAN,Dorsal forebrain,NA,NA,Cluster 2,VAT1L,expressed,NA
ENSG00000171786,dAN,Dorsal forebrain,NA,NA,NA,NHLH1,expressed,NA
ENSG00000171811,vAN,Ventral forebrain,NA,NA,NA,CFAP46,NA,NA
ENSG00000171855,dAN,NA,NA,NA,NA,IFNB1,NA,NA
ENSG00000171864,dAN,NA,NA,NA,NA,PRND,NA,NA
ENSG00000171873,dAN,NA,NA,NA,NA,ADRA1D,expressed,NA
ENSG00000171944,dAN,NA,NA,NA,NA,OR52A5,NA,NA
ENSG00000171951,dAN,NA,NA,NA,NA,SCG2,expressed,NA
ENSG00000172005,dAN,NA,NA,NA,NA,MAL,expressed,NA
ENSG00000172014,vAN,NA,NA,NA,NA,NA,NA,NA
ENSG00000172020,dAN,Dorsal forebrain,NA,NA,Cluster 2,GAP43,expressed,NA
ENSG00000172197,vAN,Early differentiation,NA,NA,NA,MBOAT1,expressed,NA
ENSG00000172260,vAN,Ventral forebrain,NA,NA,NA,NEGR1,expressed,NA
ENSG00000172318,vAN,NA,NA,NA,Cluster 2,B3GALT1,expressed,NA
ENSG00000172382,vAN,NA,NA,NA,NA,PRSS27,expressed,NA
ENSG00000172572,dAN,NA,NA,NA,NA,PDE3A,expressed,NA
ENSG00000172594,vAN,NA,NA,NA,NA,SMPDL3A,expressed,NA
ENSG00000172667,dAN,NA,NA,NA,NA,ZMAT3,expressed,NA
ENSG00000172794,vAN,Ventral forebrain,NA,NA,NA,RAB37,expressed,NA
ENSG00000172935,dAN,NA,NA,NA,NA,MRGPRF,expressed,NA
ENSG00000172965,dAN,Dorsal forebrain,NA,NA,Cluster 2,MIR4435-2HG,NA,NA
ENSG00000172985,dAN,NA,NA,NA,NA,SH3RF3,expressed,NA
ENSG00000172987,dAN,NA,NA,NA,Cluster 2,HPSE2,expressed,NA
ENSG00000173110,dAN,NA,NA,NA,Cluster 2,HSPA6,expressed,NA
ENSG00000173157,dAN,Dorsal forebrain,NA,NA,NA,ADAMTS20,expressed,NA
ENSG00000173253,dAN,NA,NA,NA,NA,DMRT2,expressed,NA
ENSG00000173262,dAN,NA,NA,NA,NA,SLC2A14,expressed,NA
ENSG00000173267,dAN,NA,NA,NA,NA,SNCG,expressed,NA
ENSG00000173334,dAN,Dorsal forebrain,NA,NA,Cluster 2,TRIB1,expressed,NA
ENSG00000173376,dAN,Dorsal forebrain,NA,NA,Cluster 2,NDNF,expressed,NA
ENSG00000173530,dAN,Dorsal forebrain,NA,NA,NA,TNFRSF10D,expressed,NA
ENSG00000173531,vAN,NA,NA,NA,NA,MST1,expressed,NA
ENSG00000173535,dAN,NA,NA,NA,Cluster 2,TNFRSF10C,expressed,NA
ENSG00000173706,vAN,Ventral forebrain,NA,NA,NA,HEG1,expressed,NA
ENSG00000173811,vAN,NA,NA,NA,Cluster 1,CCDC13-AS1,expressed,NA
ENSG00000173826,vAN,NA,NA,NA,NA,KCNH6,expressed,NA
ENSG00000173917,dAN,NA,NA,NA,NA,HOXB2,expressed,NA
ENSG00000174307,dAN,NA,NA,NA,NA,PHLDA3,expressed,NA
ENSG00000174403,vAN,NA,NA,NA,NA,NA,NA,NA
ENSG00000174428,vAN,NA,NA,NA,NA,GTF2IRD2B,expressed,NA
ENSG00000174450,vAN,NA,NA,NA,NA,GOLGA6L2,expressed,NA
ENSG00000174469,dAN,NA,NA,NA,Cluster 2,CNTNAP2,expressed,tested
ENSG00000174572,vAN,NA,NA,NA,NA,RPL10P2,NA,NA
ENSG00000174807,vAN,NA,NA,NA,NA,CD248,expressed,NA
ENSG00000174844,vAN,NA,NA,NA,NA,DNAH12,expressed,NA
ENSG00000174963,dAN,Dorsal forebrain,NA,NA,NA,ZIC4,expressed,NA
ENSG00000175084,dAN,NA,NA,NA,NA,DES,expressed,NA
ENSG00000175267,vAN,NA,NA,NA,NA,VWA3A,expressed,NA
ENSG00000175287,vAN,Ventral forebrain,NA,NA,NA,PHYHD1,expressed,NA
ENSG00000175352,dAN,Dorsal forebrain,NA,NA,NA,NRIP3,expressed,NA
ENSG00000175356,dAN,Dorsal forebrain,NA,NA,NA,SCUBE2,expressed,NA
ENSG00000175445,dAN,NA,NA,NA,NA,LPL,expressed,NA
ENSG00000175497,dAN,NA,NA,NA,NA,DPP10,expressed,NA
ENSG00000175591,dAN,NA,NA,NA,NA,P2RY2,expressed,NA
ENSG00000175592,dAN,NA,NA,NA,NA,FOSL1,NA,NA
ENSG00000175745,dAN,NA,NA,NA,NA,NR2F1,expressed,NA
ENSG00000175866,dAN,NA,NA,NA,NA,BAIAP2,expressed,NA
ENSG00000175868,dAN,NA,NA,NA,Cluster 2,CALCB,expressed,NA
ENSG00000175874,vAN,NA,NA,NA,NA,CREG2,expressed,NA
ENSG00000176040,dAN,NA,NA,NA,NA,TMPRSS7,NA,NA
ENSG00000176165,vAN,NA,NA,NA,Cluster 2,FOXG1,expressed,NA
ENSG00000176170,dAN,Dorsal forebrain,NA,NA,NA,SPHK1,expressed,NA
ENSG00000176204,dAN,NA,NA,NA,NA,LRRTM4,expressed,NA
ENSG00000176383,dAN,NA,NA,NA,NA,B3GNT4,expressed,NA
ENSG00000176463,dAN,Early differentiation,NA,NA,Cluster 2,SLCO3A1,expressed,NA
ENSG00000176641,dAN,NA,NA,NA,NA,RNF152,expressed,NA
ENSG00000176840,vAN,NA,NA,NA,NA,MIR7-3HG,expressed,NA
ENSG00000176842,dAN,NA,NA,NA,NA,IRX5,expressed,NA
ENSG00000176907,vAN,Forebrain,NA,NA,NA,TCIM,NA,NA
ENSG00000176928,dAN,NA,NA,NA,NA,GCNT4,expressed,NA
ENSG00000176978,vAN,NA,NA,NA,NA,DPP7,expressed,NA
ENSG00000177025,vAN,NA,NA,NA,NA,C19orf18,expressed,NA
ENSG00000177106,dAN,Dorsal forebrain,NA,NA,NA,EPS8L2,expressed,NA
ENSG00000177108,vAN,NA,NA,NA,NA,ZDHHC22,expressed,NA
ENSG00000177181,vAN,Ventral forebrain,NA,NA,NA,RIMKLA,expressed,NA
ENSG00000177182,dAN,NA,NA,NA,Cluster 2,CLVS1,expressed,NA
ENSG00000177283,vAN,Ventral forebrain,NA,NA,NA,FZD8,expressed,NA
ENSG00000177337,dAN,Dorsal forebrain,NA,NA,NA,NA,NA,NA
ENSG00000177359,vAN,NA,NA,NA,NA,OVOS2,NA,NA
ENSG00000177426,dAN,Dorsal forebrain,NA,NA,NA,TGIF1,expressed,NA
ENSG00000177468,dAN,NA,NA,NA,NA,OLIG3,expressed,NA
ENSG00000177469,dAN,NA,NA,NA,NA,CAVIN1,NA,NA
ENSG00000177508,dAN,NA,NA,NA,NA,IRX3,expressed,NA
ENSG00000177551,dAN,NA,NA,NA,NA,NHLH2,expressed,NA
ENSG00000177822,dAN,NA,NA,NA,NA,NA,NA,NA
ENSG00000177989,vAN,NA,NA,NA,NA,ODF3B,expressed,NA
ENSG00000177990,vAN,NA,NA,NA,Cluster 1,DPY19L2,expressed,NA
ENSG00000178033,dAN,NA,NA,NA,NA,CALHM5,NA,NA
ENSG00000178125,vAN,NA,NA,NA,NA,PPP1R42,expressed,NA
ENSG00000178385,vAN,NA,NA,NA,NA,PLEKHM3,expressed,NA
ENSG00000178401,vAN,NA,NA,1,NA,DNAJC22,expressed,NA
ENSG00000178403,dAN,NA,NA,NA,Cluster 2,NEUROG2,expressed,NA
ENSG00000178568,dAN,NA,NA,NA,NA,ERBB4,expressed,NA
ENSG00000178700,vAN,Ventral forebrain,NA,NA,NA,DHFR2,NA,NA
ENSG00000178734,vAN,NA,NA,NA,NA,LMO7DN,NA,NA
ENSG00000178919,vAN,Ventral forebrain,NA,NA,NA,FOXE1,NA,NA
ENSG00000179008,vAN,NA,NA,1,NA,C14orf39,expressed,NA
ENSG00000179023,dAN,NA,NA,NA,NA,KLHDC7A,NA,NA
ENSG00000179059,dAN,Early differentiation,NA,NA,NA,ZFP42,expressed,NA
ENSG00000179104,vAN,Ventral forebrain,NA,NA,Cluster 1,TMTC2,expressed,NA
ENSG00000179388,dAN,NA,NA,NA,NA,EGR3,expressed,NA
ENSG00000179455,dAN,NA,NA,NA,NA,MKRN3,expressed,NA
ENSG00000179546,vAN,Ventral forebrain,Higly_DE,NA,Cluster 1,HTR1D,expressed,NA
ENSG00000179627,vAN,NA,NA,NA,NA,ZBTB42,expressed,NA
ENSG00000179673,dAN,NA,NA,NA,NA,RPRML,expressed,NA
ENSG00000179761,vAN,Early differentiation,NA,NA,NA,PIPOX,expressed,NA
ENSG00000179796,dAN,Dorsal forebrain,NA,NA,Cluster 2,LRRC3B,expressed,NA
ENSG00000179869,dAN,NA,NA,NA,NA,ABCA13,expressed,NA
ENSG00000179981,vAN,NA,NA,NA,NA,TSHZ1,expressed,NA
ENSG00000180044,dAN,NA,NA,NA,NA,C3orf80,expressed,NA
ENSG00000180113,vAN,NA,NA,NA,NA,TDRD6,expressed,NA
ENSG00000180176,dAN,NA,NA,NA,NA,TH,expressed,NA
ENSG00000180209,dAN,NA,NA,NA,Cluster 2,MYL11,NA,NA
ENSG00000180340,vAN,NA,NA,2,NA,FZD2,expressed,NA
ENSG00000180440,vAN,NA,NA,NA,NA,SERTM1,expressed,NA
ENSG00000180447,dAN,Dorsal forebrain,NA,NA,Cluster 2,GAS1,expressed,NA
ENSG00000180481,vAN,NA,NA,NA,NA,GLIPR1L2,expressed,NA
ENSG00000180628,dAN,NA,NA,NA,NA,PCGF5,expressed,NA
ENSG00000180730,vAN,Ventral forebrain,NA,2,NA,SHISA2,expressed,NA
ENSG00000180739,dAN,NA,NA,NA,NA,S1PR5,expressed,NA
